Wk;Day;Date;Time;Home;Score;Away;Attendance;Venue;Referee;Match Report;Notes
1;Sat;17.08.13;;Real Sociedad;2–0;Getafe;;Anoeta;Martínez Munuera;Match Report;
1;Sat;17.08.13;;Valencia;1–0;Málaga;;Mestalla;Álvarez Izquierdo;Match Report;
1;Sat;17.08.13;;Valladolid;1–2;Athletic Club;;José Zorrilla;Ayza Gámez;Match Report;
1;Sun;18.08.13;;Real Madrid;2–1;Betis;;Santiago Bernabéu;Gil Manzano;Match Report;
1;Sun;18.08.13;;Barcelona;7–0;Levante;;Camp Nou;Del Cerro Grande;Match Report;
1;Sun;18.08.13;;Sevilla;1–3;Atlético Madrid;;Ramón Sánchez Pizjuán;Clos Gómez;Match Report;
1;Sun;18.08.13;;Osasuna;1–2;Granada;;Reyno de Navarra;González González;Match Report;
1;Mon;19.08.13;;Rayo Vallecano;3–0;Elche;;Estadio de Vallecas Teresa Rivero;Fernández Borbalán;Match Report;
1;Mon;19.08.13;;Celta Vigo;2–2;Espanyol;;Balaídos;Teixeira Vitienes;Match Report;
1;Mon;19.08.13;;Almería;2–3;Villarreal;;Estadio Mediterráneo;Undiano Mallenco;Match Report;
;;;;;;;;;;;
2;Fri;23.08.13;;Athletic Club;2–0;Osasuna;;Anoeta;Muñiz Fernández;Match Report;
2;Fri;23.08.13;;Getafe;2–2;Almería;;Coliseum Alfonso Pérez;Hernández Hernández;Match Report;
2;Sat;24.08.13;;Elche;1–1;Real Sociedad;;Martínez Valero;Pérez Montero;Match Report;
2;Sat;24.08.13;;Villarreal;2–1;Valladolid;;El Madrigal;Gil Manzano;Match Report;
2;Sat;24.08.13;;Espanyol;3–1;Valencia;;Cornellá - El Prat;Velasco Carballo;Match Report;
2;Sun;25.08.13;;Levante;0–0;Sevilla;;Ciutat de Valencia;Teixeira Vitienes;Match Report;
2;Sun;25.08.13;;Betis;1–2;Celta Vigo;;Benito Villamarín;Prieto Iglesias;Match Report;
2;Sun;25.08.13;;Málaga;0–1;Barcelona;;La Rosaleda;Mateu Lahoz;Match Report;
2;Sun;25.08.13;;Atlético Madrid;5–0;Rayo Vallecano;;Vicente Calderón;Iglesias Villanueva;Match Report;
2;Mon;26.08.13;;Granada;0–1;Real Madrid;;Nuevo Los Cármenes;Estrada Fernández;Match Report;
;;;;;;;;;;;
3;Fri;30.08.13;;Almería;2–2;Elche;;Estadio Mediterráneo;Álvarez Izquierdo;Match Report;
3;Fri;30.08.13;;Rayo Vallecano;1–2;Levante;;Estadio de Vallecas Teresa Rivero;Pérez Montero;Match Report;
3;Sat;31.08.13;;Osasuna;0–3;Villarreal;;Reyno de Navarra;Fernández Borbalán;Match Report;
3;Sat;31.08.13;;Celta Vigo;1–1;Granada;;Balaídos;Martínez Munuera;Match Report;
3;Sat;31.08.13;;Valladolid;1–0;Getafe;;José Zorrilla;Undiano Mallenco;Match Report;
3;Sun;01.09.13;;Real Madrid;3–1;Athletic Club;;Santiago Bernabéu;Clos Gómez;Match Report;
3;Sun;01.09.13;;Espanyol;0–0;Betis;;Cornellá - El Prat;González González;Match Report;
3;Sun;01.09.13;;Valencia;2–3;Barcelona;;Mestalla;Teixeira Vitienes;Match Report;
3;Sun;01.09.13;;Sevilla;2–2;Málaga;;Ramón Sánchez Pizjuán;Del Cerro Grande;Match Report;
3;Sun;01.09.13;;Real Sociedad;1–2;Atlético Madrid;;Anoeta;Ayza Gámez;Match Report;
;;;;;;;;;;;
4;Sat;14.09.13;;Barcelona;3–2;Sevilla;;Camp Nou;Muñiz Fernández;Match Report;
4;Sat;14.09.13;;Villarreal;2–2;Real Madrid;;El Madrigal;Teixeira Vitienes;Match Report;
4;Sat;14.09.13;;Levante;0–0;Real Sociedad;;Ciutat de Valencia;Prieto Iglesias;Match Report;
4;Sat;14.09.13;;Atlético Madrid;4–2;Almería;;Vicente Calderón;González González;Match Report;
4;Sun;15.09.13;;Betis;3–1;Valencia;;Benito Villamarín;Estrada Fernández;Match Report;
4;Sun;15.09.13;;Getafe;2–1;Osasuna;;Coliseum Alfonso Pérez;Mateu Lahoz;Match Report;
4;Sun;15.09.13;;Málaga;5–0;Rayo Vallecano;;La Rosaleda;Hernández Hernández;Match Report;
4;Sun;15.09.13;;Granada;0–1;Espanyol;;Nuevo Los Cármenes;Iglesias Villanueva;Match Report;
4;Mon;16.09.13;;Athletic Club;3–2;Celta Vigo;;San Mamés;Gil Manzano;Match Report;
4;Mon;16.09.13;;Elche;0–0;Valladolid;;Martínez Valero;Fernández Borbalán;Match Report;
;;;;;;;;;;;
5;Fri;20.09.13;;Osasuna;2–1;Elche;;Reyno de Navarra;Del Cerro Grande;Match Report;
5;Sat;21.09.13;;Real Sociedad;0–0;Málaga;;Anoeta;Teixeira Vitienes;Match Report;
5;Sat;21.09.13;;Valladolid;0–2;Atlético Madrid;;José Zorrilla;Álvarez Izquierdo;Match Report;
5;Sat;21.09.13;;Rayo Vallecano;0–4;Barcelona;;Estadio de Vallecas Teresa Rivero;Clos Gómez;Match Report;
5;Sat;21.09.13;;Almería;2–2;Levante;;Estadio Mediterráneo;Velasco Carballo;Match Report;
5;Sun;22.09.13;;Betis;0–0;Granada;;Benito Villamarín;Ayza Gámez;Match Report;
5;Sun;22.09.13;;Real Madrid;4–1;Getafe;;Santiago Bernabéu;Fernández Borbalán;Match Report;
5;Sun;22.09.13;;Valencia;3–1;Sevilla;;Mestalla;Undiano Mallenco;Match Report;
5;Sun;22.09.13;;Celta Vigo;0–0;Villarreal;;Balaídos;Pérez Montero;Match Report;
5;Mon;23.09.13;;Espanyol;3–2;Athletic Club;;Cornellá - El Prat;Martínez Munuera;Match Report;
;;;;;;;;;;;
6;Tue;24.09.13;;Atlético Madrid;2–1;Osasuna;;Vicente Calderón;Estrada Fernández;Match Report;
6;Tue;24.09.13;;Barcelona;4–1;Real Sociedad;;Camp Nou;Gil Manzano;Match Report;
6;Tue;24.09.13;;Málaga;2–0;Almería;;La Rosaleda;Clos Gómez;Match Report;
6;Tue;24.09.13;;Levante;1–1;Valladolid;;Ciutat de Valencia;Hernández Hernández;Match Report;
6;Wed;25.09.13;;Elche;1–2;Real Madrid;;Martínez Valero;Muñiz Fernández;Match Report;
6;Wed;25.09.13;;Sevilla;4–1;Rayo Vallecano;;Ramón Sánchez Pizjuán;Mateu Lahoz;Match Report;
6;Wed;25.09.13;;Granada;0–1;Valencia;;Nuevo Los Cármenes;Teixeira Vitienes;Match Report;
6;Thu;26.09.13;;Villarreal;2–1;Espanyol;;El Madrigal;Prieto Iglesias;Match Report;
6;Thu;26.09.13;;Getafe;2–0;Celta Vigo;;Coliseum Alfonso Pérez;González González;Match Report;
6;Thu;26.09.13;;Athletic Club;2–1;Betis;;San Mamés;Iglesias Villanueva;Match Report;
;;;;;;;;;;;
7;Fri;27.09.13;;Valladolid;2–2;Málaga;;José Zorrilla;Martínez Munuera;Match Report;
7;Sat;28.09.13;;Real Madrid;0–1;Atlético Madrid;;Santiago Bernabéu;Mateu Lahoz;Match Report;
7;Sat;28.09.13;;Real Sociedad;1–1;Sevilla;;Anoeta;Velasco Carballo;Match Report;
7;Sat;28.09.13;;Valencia;1–0;Rayo Vallecano;;Mestalla;Fernández Borbalán;Match Report;
7;Sat;28.09.13;;Almería;0–2;Barcelona;;Estadio Mediterráneo;Ayza Gámez;Match Report;
7;Sun;29.09.13;;Osasuna;0–1;Levante;;Reyno de Navarra;Teixeira Vitienes;Match Report;
7;Sun;29.09.13;;Espanyol;0–2;Getafe;;Cornellá - El Prat;Pérez Montero;Match Report;
7;Sun;29.09.13;;Celta Vigo;0–1;Elche;;Balaídos;Prieto Iglesias;Match Report;
7;Sun;29.09.13;;Betis;1–0;Villarreal;;Benito Villamarín;Delgado Ferreiro;Match Report;
7;Mon;30.09.13;;Granada;2–0;Athletic Club;;Nuevo Los Cármenes;Álvarez Izquierdo;Match Report;
;;;;;;;;;;;
8;Fri;04.10.13;;Villarreal;3–0;Granada;;El Madrigal;Hernández Hernández;Match Report;
8;Fri;04.10.13;;Málaga;0–1;Osasuna;;La Rosaleda;Gil Manzano;Match Report;
8;Sat;05.10.13;;Barcelona;4–1;Valladolid;;Camp Nou;Teixeira Vitienes;Match Report;
8;Sat;05.10.13;;Levante;2–3;Real Madrid;;Ciutat de Valencia;González González;Match Report;
8;Sat;05.10.13;;Rayo Vallecano;1–0;Real Sociedad;;Estadio de Vallecas Teresa Rivero;Estrada Fernández;Match Report;
8;Sat;05.10.13;;Elche;2–1;Espanyol;;Martínez Valero;Clos Gómez;Match Report;
8;Sun;06.10.13;;Getafe;3–1;Betis;;Coliseum Alfonso Pérez;Álvarez Izquierdo;Match Report;
8;Sun;06.10.13;;Athletic Club;1–1;Valencia;;San Mamés;Del Cerro Grande;Match Report;
8;Sun;06.10.13;;Sevilla;2–1;Almería;;Ramón Sánchez Pizjuán;Iglesias Villanueva;Match Report;
8;Sun;06.10.13;;Atlético Madrid;2–1;Celta Vigo;;Vicente Calderón;Undiano Mallenco;Match Report;
;;;;;;;;;;;
9;Sat;19.10.13;;Valencia;1–2;Real Sociedad;;Mestalla;Hernández Hernández;Match Report;
9;Sat;19.10.13;;Espanyol;1–0;Atlético Madrid;;Cornellá - El Prat;Fernández Borbalán;Match Report;
9;Sat;19.10.13;;Real Madrid;2–0;Málaga;;Santiago Bernabéu;Ayza Gámez;Match Report;
9;Sat;19.10.13;;Osasuna;0–0;Barcelona;;Reyno de Navarra;Pérez Montero;Match Report;
9;Sun;20.10.13;;Betis;1–2;Elche;;Benito Villamarín;Velasco Carballo;Match Report;
9;Sun;20.10.13;;Valladolid;2–2;Sevilla;;José Zorrilla;Prieto Iglesias;Match Report;
9;Sun;20.10.13;;Almería;0–1;Rayo Vallecano;;Estadio Mediterráneo;Delgado Ferreiro;Match Report;
9;Sun;20.10.13;;Granada;0–2;Getafe;;Nuevo Los Cármenes;Mateu Lahoz;Match Report;
9;Mon;21.10.13;;Athletic Club;2–0;Villarreal;;San Mamés;Teixeira Vitienes;Match Report;
9;Mon;21.10.13;;Celta Vigo;0–1;Levante;;Balaídos;Álvarez Izquierdo;Match Report;
;;;;;;;;;;;
10;Fri;25.10.13;;Rayo Vallecano;0–3;Valladolid;;Estadio de Vallecas Teresa Rivero;Iglesias Villanueva;Match Report;
10;Sat;26.10.13;;Málaga;0–5;Celta Vigo;;La Rosaleda;Estrada Fernández;Match Report;
10;Sat;26.10.13;;Levante;3–0;Espanyol;;Ciutat de Valencia;Muñiz Fernández;Match Report;
10;Sat;26.10.13;;Barcelona;2–1;Real Madrid;;Camp Nou;Undiano Mallenco;Match Report;
10;Sat;26.10.13;;Elche;0–1;Granada;;Martínez Valero;Del Cerro Grande;Match Report;
10;Sun;27.10.13;;Atlético Madrid;5–0;Betis;;Vicente Calderón;Martínez Munuera;Match Report;
10;Sun;27.10.13;;Villarreal;4–1;Valencia;;El Madrigal;Clos Gómez;Match Report;
10;Sun;27.10.13;;Real Sociedad;3–0;Almería;;Anoeta;Teixeira Vitienes;Match Report;
10;Sun;27.10.13;;Sevilla;2–1;Osasuna;;Ramón Sánchez Pizjuán;González González;Match Report;
10;Mon;28.10.13;;Getafe;0–1;Athletic Club;;Coliseum Alfonso Pérez;Gil Manzano;Match Report;
;;;;;;;;;;;
11;Tue;29.10.13;;Celta Vigo;0–3;Barcelona;;Balaídos;Fernández Borbalán;Match Report;
11;Tue;29.10.13;;Espanyol;0–0;Málaga;;Cornellá - El Prat;Delgado Ferreiro;Match Report;
11;Wed;30.10.13;;Valladolid;2–2;Real Sociedad;;José Zorrilla;Mateu Lahoz;Match Report;
11;Wed;30.10.13;;Real Madrid;7–3;Sevilla;;Santiago Bernabéu;Teixeira Vitienes;Match Report;
11;Wed;30.10.13;;Valencia;1–2;Almería;;Mestalla;Prieto Iglesias;Match Report;
11;Wed;30.10.13;;Osasuna;3–1;Rayo Vallecano;;Reyno de Navarra;Ayza Gámez;Match Report;
11;Thu;31.10.13;;Betis;0–0;Levante;;Benito Villamarín;Hernández Hernández;Match Report;
11;Thu;31.10.13;;Athletic Club;2–2;Elche;;San Mamés;Pérez Montero;Match Report;
11;Thu;31.10.13;;Villarreal;0–2;Getafe;;El Madrigal;Estrada Fernández;Match Report;
11;Thu;31.10.13;;Granada;1–2;Atlético Madrid;;Nuevo Los Cármenes;González González;Match Report;
;;;;;;;;;;;
12;Fri;01.11.13;;Barcelona;1–0;Espanyol;;Camp Nou;Velasco Carballo;Match Report;
12;Sat;02.11.13;;Almería;1–0;Valladolid;;Estadio Mediterráneo;Muñiz Fernández;Match Report;
