Wk;Day;Date;Time;Home;xG;Score;xG;Away;Attendance;Venue;Referee;Match Report;Notes
5;Wed;20.09.17;20:45;Milan;2.2;2–0;0.1;SPAL;45,343;Stadio Giuseppe Meazza;Rosario Abisso;Match Report;
5;Wed;20.09.17;20:45;Atalanta;3.2;5–1;0.5;Crotone;16,378;Stadio Atleti Azzurri d'Italia;Marco Piccinini;Match Report;
5;Wed;20.09.17;20:45;Hellas Verona;0.5;0–0;1.2;Sampdoria;14,690;Stadio Marc'Antonio Bentegodi;Gianluca Manganiello;Match Report;
5;Wed;20.09.17;20:45;Juventus;1;1–0;0.4;Fiorentina;35,652;Allianz Stadium;Daniele Doveri;Match Report;
5;Wed;20.09.17;20:45;Cagliari;1.7;0–1;2.4;Sassuolo;13,898;Stadio Sant'Elia;Claudio Gavillucci;Match Report;
5;Wed;20.09.17;20:45;Genoa;0.8;1–1;1.1;Chievo;18,376;Stadio Comunale Luigi Ferraris;Paolo Mazzoleni;Match Report;
;;;;;;;;;;;;;
6;Sat;23.09.17;15:00;Roma;3.5;3–1;1.2;Udinese;32,457;Stadio Olimpico;Davide Massa;Match Report;
6;Sat;23.09.17;18:00;SPAL;0.2;2–3;1.7;Napoli;12,650;Stadio Paolo Mazza;Maurizio Mariani;Match Report;
6;Sat;23.09.17;20:45;Juventus;2.6;4–0;0.3;Torino;40,856;Allianz Stadium;Piero Giacomelli;Match Report;
6;Sun;24.09.17;12:30;Sampdoria;1.3;2–0;0.5;Milan;21,896;Stadio Comunale Luigi Ferraris;Paolo Valeri;Match Report;
6;Sun;24.09.17;15:00;Hellas Verona;0.5;0–3;1.9;Lazio;16,316;Stadio Marc'Antonio Bentegodi;Massimiliano Irrati;Match Report;
6;Sun;24.09.17;15:00;Crotone;1.4;2–0;2;Benevento;8,827;Stadio Ezio Scida;Daniele Orsato;Match Report;
6;Sun;24.09.17;15:00;Cagliari;1.3;0–2;1.2;Chievo;14,287;Stadio Sant'Elia;Gianluca Aureliano;Match Report;
6;Sun;24.09.17;15:00;Inter;0.8;1–0;0.6;Genoa;50,037;Stadio Giuseppe Meazza;Marco Guida;Match Report;
6;Sun;24.09.17;18:00;Sassuolo;0.6;0–1;2.1;Bologna;10,805;Stadio Città del Tricolore;Paolo Tagliavento;Match Report;
6;Sun;24.09.17;20:45;Fiorentina;0.4;1–1;2.6;Atalanta;21,390;Stadio Artemio Franchi;Luca Pairetto;Match Report;
;;;;;;;;;;;;;
7;Sat;30.09.17;18:00;Udinese;4;4–0;0.6;Sampdoria;17,935;Dacia Arena;Michael Fabbri;Match Report;
7;Sat;30.09.17;20:45;Genoa;1.5;0–1;0.9;Bologna;19,154;Stadio Comunale Luigi Ferraris;Gianluca Rocchi;Match Report;
7;Sun;01.10.17;12:30;Napoli;3.1;3–0;0.3;Cagliari;42,813;Stadio San Paolo;Rosario Abisso;Match Report;
7;Sun;01.10.17;15:00;Benevento;1;1–2;1.9;Inter;16,274;Stadio Ciro Vigorito;Daniele Doveri;Match Report;
7;Sun;01.10.17;15:00;Torino;1.7;2–2;3.2;Hellas Verona;16,834;Stadio Olimpico di Torino;Claudio Gavillucci;Match Report;
7;Sun;01.10.17;15:00;Chievo;1.1;2–1;1.8;Fiorentina;7,300;Stadio Marc'Antonio Bentegodi;Piero Giacomelli;Match Report;
7;Sun;01.10.17;15:00;SPAL;2.7;1–1;0.6;Crotone;11,187;Stadio Paolo Mazza;Paolo Mazzoleni;Match Report;
7;Sun;01.10.17;15:00;Lazio;3.3;6–1;1.5;Sassuolo;25,000;Stadio Olimpico;Fabio Maresca;Match Report;
7;Sun;01.10.17;18:00;Milan;1.2;0–2;1.4;Roma;61,698;Stadio Giuseppe Meazza;Luca Banti;Match Report;
7;Sun;01.10.17;20:45;Atalanta;1.2;2–2;2.5;Juventus;19,962;Stadio Atleti Azzurri d'Italia;Antonio Damato;Match Report;
;;;;;;;;;;;;;
8;Sat;14.10.17;18:00;Juventus;2.8;1–2;1.7;Lazio;39,145;Allianz Stadium;Paolo Mazzoleni;Match Report;
8;Sat;14.10.17;20:45;Roma;0.4;0–1;1.3;Napoli;37,914;Stadio Olimpico;Gianluca Rocchi;Match Report;
8;Sun;15.10.17;12:30;Fiorentina;2;2–1;0.5;Udinese;25,156;Stadio Artemio Franchi;Massimiliano Irrati;Match Report;
8;Sun;15.10.17;15:00;Sampdoria;1.3;3–1;2.8;Atalanta;19,672;Stadio Comunale Luigi Ferraris;Maurizio Mariani;Match Report;
8;Sun;15.10.17;15:00;Bologna;1.6;2–1;0.8;SPAL;24,074;Stadio Renato Dall'Ara;Marco Guida;Match Report;
8;Sun;15.10.17;15:00;Cagliari;1.3;2–3;2;Genoa;13,981;Stadio Sant'Elia;Davide Massa;Match Report;
8;Sun;15.10.17;15:00;Crotone;0.7;2–2;1.6;Torino;9,563;Stadio Ezio Scida;Paolo Valeri;Match Report;
8;Sun;15.10.17;15:00;Sassuolo;2;0–0;0.4;Chievo;8,712;Stadio Città del Tricolore;Gianluca Manganiello;Match Report;
8;Sun;15.10.17;20:45;Inter;1.8;3–2;1.1;Milan;78,328;Stadio Giuseppe Meazza;Paolo Tagliavento;Match Report;
8;Mon;16.10.17;20:45;Hellas Verona;1.5;1–0;0.3;Benevento;16,282;Stadio Marc'Antonio Bentegodi;Marco Di Bello;Match Report;
;;;;;;;;;;;;;
9;Sat;21.10.17;18:00;Sampdoria;2.5;5–0;0.4;Crotone;18,220;Stadio Comunale Luigi Ferraris;Giampaolo Calvarese;Match Report;
9;Sat;21.10.17;20:45;Napoli;0.9;0–0;0.3;Inter;49,762;Stadio San Paolo;Luca Banti;Match Report;
9;Sun;22.10.17;12:30;Chievo;2.9;3–2;1.3;Hellas Verona;15,000;Stadio Marc'Antonio Bentegodi;Rosario Abisso;Match Report;
9;Sun;22.10.17;15:00;Atalanta;2.3;1–0;0.2;Bologna;18,205;Stadio Atleti Azzurri d'Italia;Fabio Maresca;Match Report;
9;Sun;22.10.17;15:00;Torino;0.4;0–1;1.2;Roma;19,646;Stadio Olimpico di Torino;Antonio Damato;Match Report;
9;Sun;22.10.17;15:00;SPAL;1;0–1;2.8;Sassuolo;10,338;Stadio Paolo Mazza;Michael Fabbri;Match Report;
9;Sun;22.10.17;15:00;Milan;0.8;0–0;0.5;Genoa;47,219;Stadio Giuseppe Meazza;Piero Giacomelli;Match Report;
9;Sun;22.10.17;15:00;Benevento;0.2;0–3;2.6;Fiorentina;10,887;Stadio Ciro Vigorito;Claudio Gavillucci;Match Report;
9;Sun;22.10.17;18:00;Udinese;0.8;2–6;1.2;Juventus;21,992;Dacia Arena;Daniele Doveri;Match Report;
9;Sun;22.10.17;20:45;Lazio;2.1;3–0;0.8;Cagliari;20,000;Stadio Olimpico;Luca Pairetto;Match Report;
;;;;;;;;;;;;;
10;Tue;24.10.17;20:45;Inter;2.8;3–2;0.7;Sampdoria;54,451;Stadio Giuseppe Meazza;Marco Guida;Match Report;
10;Wed;25.10.17;18:30;Atalanta;2.5;3–0;1.7;Hellas Verona;16,768;Stadio Atleti Azzurri d'Italia;Livio Marinelli;Match Report;
10;Wed;25.10.17;20:45;Genoa;1.2;2–3;1.3;Napoli;23,367;Stadio Comunale Luigi Ferraris;Paolo Mazzoleni;Match Report;
10;Wed;25.10.17;20:45;Roma;2.7;1–0;0.4;Crotone;31,605;Stadio Olimpico;Gianluca Manganiello;Match Report;
10;Wed;25.10.17;20:45;Cagliari;1.8;2–1;1.5;Benevento;13,630;Stadio Sant'Elia;Massimiliano Irrati;Match Report;
10;Wed;25.10.17;20:45;Juventus;1.3;4–1;1.1;SPAL;38,539;Allianz Stadium;Fabrizio Pasqua;Match Report;
10;Wed;25.10.17;20:45;Chievo;0.9;1–4;1.8;Milan;7,300;Stadio Marc'Antonio Bentegodi;Marco Di Bello;Match Report;
10;Wed;25.10.17;20:45;Fiorentina;2;3–0;0.9;Torino;22,459;Stadio Artemio Franchi;Maurizio Mariani;Match Report;
10;Wed;25.10.17;20:45;Bologna;0.6;1–2;3;Lazio;20,070;Stadio Renato Dall'Ara;Davide Massa;Match Report;
10;Wed;25.10.17;20:45;Sassuolo;0.6;0–1;0.8;Udinese;7,563;Stadio Città del Tricolore;Paolo Tagliavento;Match Report;
;;;;;;;;;;;;;
11;Sat;28.10.17;18:00;Milan;1.4;0–2;0.8;Juventus;78,328;Stadio Giuseppe Meazza;Paolo Valeri;Match Report;
11;Sat;28.10.17;20:45;Roma;1.5;1–0;0.7;Bologna;35,202;Stadio Olimpico;Michael Fabbri;Match Report;
11;Sun;29.10.17;12:30;Benevento;1;1–5;3.1;Lazio;12,413;Stadio Ciro Vigorito;Piero Giacomelli;Match Report;
11;Sun;29.10.17;15:00;Sampdoria;1.5;4–1;1.3;Chievo;17,972;Stadio Comunale Luigi Ferraris;Daniele Doveri;Match Report;
11;Sun;29.10.17;15:00;Napoli;2.6;3–1;0.9;Sassuolo;53,609;Stadio San Paolo;Luca Pairetto;Match Report;
11;Sun;29.10.17;15:00;SPAL;0.4;1–0;1.2;Genoa;12,100;Stadio Paolo Mazza;Daniele Orsato;Match Report;
11;Sun;29.10.17;15:00;Crotone;1.3;2–1;1;Fiorentina;8,906;Stadio Ezio Scida;Fabio Maresca;Match Report;
11;Sun;29.10.17;15:00;Udinese;1.3;2–1;1.1;Atalanta;9,038;Dacia Arena;Gianluca Rocchi;Match Report;
11;Sun;29.10.17;20:45;Torino;3;2–1;0.5;Cagliari;18,309;Stadio Olimpico di Torino;Giampaolo Calvarese;Match Report;
