Wk;Day;Date;Time;Home;Score;Away;Attendance;Venue;Referee;Match Report;Notes
1;Fri;24.08.12;;Dortmund;2–1;Werder Bremen;;;Felix Zwayer;Match Report;
1;Sat;25.08.12;;Greuther Fürth;0–3;Bayern Munich;;;Peter Gagelmann;Match Report;
1;Sat;25.08.12;;M'Gladbach;2–1;Hoffenheim;;;Peter Sippel;Match Report;
1;Sat;25.08.12;;Stuttgart;0–1;Wolfsburg;;;Tobias Welz;Match Report;
1;Sat;25.08.12;;Hamburger SV;0–1;Nürnberg;;;Marco Fritz;Match Report;
1;Sat;25.08.12;;Eint Frankfurt;2–1;Leverkusen;;;Thorsten Kinhöfer;Match Report;
1;Sat;25.08.12;;Freiburg;1–1;Mainz 05;;;Deniz Aytekin;Match Report;
1;Sat;25.08.12;;Augsburg;0–2;Düsseldorf;;;Knut Kircher;Match Report;
1;Sun;26.08.12;;Hannover 96;2–2;Schalke 04;;;Felix Brych;Match Report;
;;;;;;;;;;;
2;Fri;31.08.12;;Mainz 05;0–1;Greuther Fürth;;;Tobias Stieler;Match Report;
2;Sat;01.09.12;;Schalke 04;3–1;Augsburg;;;Daniel Siebert;Match Report;
2;Sat;01.09.12;;Leverkusen;2–0;Freiburg;;;Florian Meyer;Match Report;
2;Sat;01.09.12;;Hoffenheim;0–4;Eint Frankfurt;;;Michael Weiner;Match Report;
2;Sat;01.09.12;;Nürnberg;1–1;Dortmund;;;Tobias Welz;Match Report;
2;Sat;01.09.12;;Düsseldorf;0–0;M'Gladbach;;;Günter Perl;Match Report;
2;Sat;01.09.12;;Werder Bremen;2–0;Hamburger SV;;;Knut Kircher;Match Report;
2;Sun;02.09.12;;Bayern Munich;6–1;Stuttgart;;;Thorsten Kinhöfer;Match Report;
2;Sun;02.09.12;;Wolfsburg;0–4;Hannover 96;;;Wolfgang Stark;Match Report;
;;;;;;;;;;;
3;Fri;14.09.12;;Augsburg;0–0;Wolfsburg;;;Guido Winkmann;Match Report;
3;Sat;15.09.12;;M'Gladbach;2–3;Nürnberg;;;Christian Dingert;Match Report;
3;Sat;15.09.12;;Dortmund;3–0;Leverkusen;;;Felix Brych;Match Report;
3;Sat;15.09.12;;Hannover 96;3–2;Werder Bremen;;;Deniz Aytekin;Match Report;
3;Sat;15.09.12;;Stuttgart;0–0;Düsseldorf;;;Robert Hartmann;Match Report;
3;Sat;15.09.12;;Greuther Fürth;0–2;Schalke 04;;;Florian Meyer;Match Report;
3;Sat;15.09.12;;Bayern Munich;3–1;Mainz 05;;;Markus Schmidt;Match Report;
3;Sun;16.09.12;;Eint Frankfurt;3–2;Hamburger SV;;;Wolfgang Stark;Match Report;
3;Sun;16.09.12;;Freiburg;5–3;Hoffenheim;;;Felix Zwayer;Match Report;
;;;;;;;;;;;
4;Fri;21.09.12;;Nürnberg;1–2;Eint Frankfurt;;;Felix Zwayer;Match Report;
4;Sat;22.09.12;;Schalke 04;0–2;Bayern Munich;;;Knut Kircher;Match Report;
4;Sat;22.09.12;;Düsseldorf;0–0;Freiburg;;;Bastian Dankert;Match Report;
4;Sat;22.09.12;;Hamburger SV;3–2;Dortmund;;;Günter Perl;Match Report;
4;Sat;22.09.12;;Wolfsburg;1–1;Greuther Fürth;;;Markus Schmidt;Match Report;
4;Sat;22.09.12;;Mainz 05;2–0;Augsburg;;;Michael Weiner;Match Report;
4;Sun;23.09.12;;Hoffenheim;3–1;Hannover 96;;;Marco Fritz;Match Report;
4;Sun;23.09.12;;Werder Bremen;2–2;Stuttgart;;;Guido Winkmann;Match Report;
4;Sun;23.09.12;;Leverkusen;1–1;M'Gladbach;;;Peter Gagelmann;Match Report;
;;;;;;;;;;;
5;Tue;25.09.12;;Schalke 04;3–0;Mainz 05;;;Robert Hartmann;Match Report;
5;Tue;25.09.12;;Greuther Fürth;0–2;Düsseldorf;;;Tobias Welz;Match Report;
5;Tue;25.09.12;;Eint Frankfurt;3–3;Dortmund;;;Florian Meyer;Match Report;
5;Tue;25.09.12;;Bayern Munich;3–0;Wolfsburg;;;Christian Dingert;Match Report;
5;Wed;26.09.12;;Freiburg;1–2;Werder Bremen;;;Thorsten Kinhöfer;Match Report;
5;Wed;26.09.12;;Hannover 96;4–1;Nürnberg;;;Daniel Siebert;Match Report;
5;Wed;26.09.12;;Stuttgart;0–3;Hoffenheim;;;Peter Sippel;Match Report;
5;Wed;26.09.12;;M'Gladbach;2–2;Hamburger SV;;;Deniz Aytekin;Match Report;
5;Wed;26.09.12;;Augsburg;1–3;Leverkusen;;;Bastian Dankert;Match Report;
;;;;;;;;;;;
6;Fri;28.09.12;;Düsseldorf;2–2;Schalke 04;;;Peter Gagelmann;Match Report;
6;Sat;29.09.12;;Leverkusen;2–0;Greuther Fürth;;;Guido Winkmann;Match Report;
6;Sat;29.09.12;;Hamburger SV;1–0;Hannover 96;;;Felix Zwayer;Match Report;
6;Sat;29.09.12;;Werder Bremen;0–2;Bayern Munich;;;Michael Weiner;Match Report;
6;Sat;29.09.12;;Dortmund;5–0;M'Gladbach;;;Wolfgang Stark;Match Report;
6;Sat;29.09.12;;Nürnberg;0–2;Stuttgart;;;Florian Meyer;Match Report;
6;Sat;29.09.12;;Hoffenheim;0–0;Augsburg;;;Markus Schmidt;Match Report;
6;Sun;30.09.12;;Wolfsburg;0–2;Mainz 05;;;Marco Fritz;Match Report;
6;Sun;30.09.12;;Eint Frankfurt;2–1;Freiburg;;;Felix Brych;Match Report;
;;;;;;;;;;;
7;Fri;05.10.12;;Augsburg;3–1;Werder Bremen;;;Knut Kircher;Match Report;
7;Sat;06.10.12;;Bayern Munich;2–0;Hoffenheim;;;Tobias Stieler;Match Report;
7;Sat;06.10.12;;Mainz 05;1–0;Düsseldorf;;;Deniz Aytekin;Match Report;
7;Sat;06.10.12;;Greuther Fürth;0–1;Hamburger SV;;;Thorsten Kinhöfer;Match Report;
7;Sat;06.10.12;;Schalke 04;3–0;Wolfsburg;;;Peter Sippel;Match Report;
7;Sat;06.10.12;;Freiburg;3–0;Nürnberg;;;Michael Weiner;Match Report;
7;Sun;07.10.12;;Stuttgart;2–2;Leverkusen;;;Günter Perl;Match Report;
7;Sun;07.10.12;;Hannover 96;1–1;Dortmund;;;Peter Gagelmann;Match Report;
7;Sun;07.10.12;;M'Gladbach;2–0;Eint Frankfurt;;;Marco Fritz;Match Report;
;;;;;;;;;;;
8;Fri;19.10.12;;Hoffenheim;3–3;Greuther Fürth;;;Daniel Siebert;Match Report;
8;Sat;20.10.12;;Werder Bremen;4–0;M'Gladbach;;;Günter Perl;Match Report;
8;Sat;20.10.12;;Leverkusen;2–2;Mainz 05;;;Peter Sippel;Match Report;
8;Sat;20.10.12;;Düsseldorf;0–5;Bayern Munich;;;Felix Zwayer;Match Report;
8;Sat;20.10.12;;Dortmund;1–2;Schalke 04;;;Felix Brych;Match Report;
8;Sat;20.10.12;;Eint Frankfurt;3–1;Hannover 96;;;Christian Dingert;Match Report;
8;Sat;20.10.12;;Wolfsburg;0–2;Freiburg;;;Robert Hartmann;Match Report;
8;Sun;21.10.12;;Hamburger SV;0–1;Stuttgart;;;Tobias Welz;Match Report;
8;Sun;21.10.12;;Nürnberg;0–0;Augsburg;;;Wolfgang Stark;Match Report;
;;;;;;;;;;;
9;Fri;26.10.12;;Augsburg;0–2;Hamburger SV;;;Michael Weiner;Match Report;
9;Sat;27.10.12;;Düsseldorf;1–4;Wolfsburg;;;Tobias Welz;Match Report;
9;Sat;27.10.12;;Mainz 05;3–0;Hoffenheim;;;Guido Winkmann;Match Report;
9;Sat;27.10.12;;Schalke 04;1–0;Nürnberg;;;Knut Kircher;Match Report;
9;Sat;27.10.12;;Freiburg;0–2;Dortmund;;;Marco Fritz;Match Report;
9;Sat;27.10.12;;Greuther Fürth;1–1;Werder Bremen;;;Tobias Stieler;Match Report;
9;Sun;28.10.12;;Hannover 96;2–3;M'Gladbach;;;Thorsten Kinhöfer;Match Report;
9;Sun;28.10.12;;Bayern Munich;1–2;Leverkusen;;;Florian Meyer;Match Report;
9;Sun;28.10.12;;Stuttgart;2–1;Eint Frankfurt;;;Peter Gagelmann;Match Report;
;;;;;;;;;;;
10;Fri;02.11.12;;Eint Frankfurt;1–1;Greuther Fürth;;;Markus Schmidt;Match Report;
10;Sat;03.11.12;;Nürnberg;1–0;Wolfsburg;;;Christian Dingert;Match Report;
10;Sat;03.11.12;;Dortmund;0–0;Stuttgart;;;Felix Zwayer;Match Report;
10;Sat;03.11.12;;Hannover 96;2–0;Augsburg;;;Jochen Drees;Match Report;
10;Sat;03.11.12;;Hoffenheim;3–2;Schalke 04;;;Deniz Aytekin;Match Report;
10;Sat;03.11.12;;Hamburger SV;0–3;Bayern Munich;;;Knut Kircher;Match Report;
10;Sat;03.11.12;;M'Gladbach;1–1;Freiburg;;;Wolfgang Stark;Match Report;
10;Sun;04.11.12;;Werder Bremen;2–1;Mainz 05;;;Manuel Gräfe;Match Report;
10;Sun;04.11.12;;Leverkusen;3–2;Düsseldorf;;;Felix Brych;Match Report;
;;;;;;;;;;;
11;Fri;09.11.12;;Mainz 05;2–1;Nürnberg;;;Thorsten Kinhöfer;Match Report;
11;Sat;10.11.12;;Düsseldorf;1–1;Hoffenheim;;;Robert Hartmann;Match Report;
11;Sat;10.11.12;;Bayern Munich;2–0;Eint Frankfurt;;;Marco Fritz;Match Report;
11;Sat;10.11.12;;Schalke 04;2–1;Werder Bremen;;;Florian Meyer;Match Report;
11;Sat;10.11.12;;Freiburg;0–0;Hamburger SV;;;Günter Perl;Match Report;
11;Sat;10.11.12;;Augsburg;1–3;Dortmund;;;Manuel Gräfe;Match Report;
11;Sun;11.11.12;;Stuttgart;2–4;Hannover 96;;;Felix Brych;Match Report;
11;Sun;11.11.12;;Wolfsburg;3–1;Leverkusen;;;Bastian Dankert;Match Report;
11;Sun;11.11.12;;Greuther Fürth;2–4;M'Gladbach;;;Peter Gagelmann;Match Report;
;;;;;;;;;;;
12;Sat;17.11.12;;Dortmund;3–1;Greuther Fürth;;;Jochen Drees;Match Report;
12;Sat;17.11.12;;Nürnberg;1–1;Bayern Munich;;;Manuel Gräfe;Match Report;
12;Sat;17.11.12;;Eint Frankfurt;4–2;Augsburg;;;Florian Meyer;Match Report;
12;Sat;17.11.12;;Hannover 96;1–2;Freiburg;;;Deniz Aytekin;Match Report;
12;Sat;17.11.12;;Hamburger SV;1–0;Mainz 05;;;Daniel Siebert;Match Report;
12;Sat;17.11.12;;Leverkusen;2–0;Schalke 04;;;Wolfgang Stark;Match Report;
12;Sat;17.11.12;;M'Gladbach;1–2;Stuttgart;;;Michael Weiner;Match Report;
12;Sun;18.11.12;;Hoffenheim;1–3;Wolfsburg;;;Günter Perl;Match Report;
12;Sun;18.11.12;;Werder Bremen;2–1;Düsseldorf;;;Peter Sippel;Match Report;
;;;;;;;;;;;
13;Fri;23.11.12;;Düsseldorf;2–0;Hamburger SV;;;Peter Gagelmann;Match Report;
13;Sat;24.11.12;;Bayern Munich;5–0;Hannover 96;;;Felix Zwayer;Match Report;
13;Sat;24.11.12;;Greuther Fürth;0–0;Nürnberg;;;Felix Brych;Match Report;
13;Sat;24.11.12;;Wolfsburg;1–1;Werder Bremen;;;Markus Schmidt;Match Report;
13;Sat;24.11.12;;Schalke 04;1–1;Eint Frankfurt;;;Günter Perl;Match Report;
13;Sat;24.11.12;;Mainz 05;1–2;Dortmund;;;Knut Kircher;Match Report;
13;Sun;25.11.12;;Freiburg;3–0;Stuttgart;;;Tobias Welz;Match Report;
13;Sun;25.11.12;;Augsburg;1–1;M'Gladbach;;;Tobias Stieler;Match Report;
13;Sun;25.11.12;;Hoffenheim;1–2;Leverkusen;;;Christian Dingert;Match Report;
;;;;;;;;;;;
14;Tue;27.11.12;;Dortmund;1–1;Düsseldorf;;;Deniz Aytekin;Match Report;
14;Tue;27.11.12;;Eint Frankfurt;1–3;Mainz 05;;;Wolfgang Stark;Match Report;
14;Tue;27.11.12;;Hamburger SV;3–1;Schalke 04;;;Manuel Gräfe;Match Report;
14;Tue;27.11.12;;Hannover 96;2–0;Greuther Fürth;;;Marco Fritz;Match Report;
14;Wed;28.11.12;;Nürnberg;4–2;Hoffenheim;;;Jochen Drees;Match Report;
14;Wed;28.11.12;;Werder Bremen;1–4;Leverkusen;;;Thorsten Kinhöfer;Match Report;
14;Wed;28.11.12;;M'Gladbach;2–0;Wolfsburg;;;Robert Hartmann;Match Report;
14;Wed;28.11.12;;Freiburg;0–2;Bayern Munich;;;Florian Meyer;Match Report;
