Wk;Day;Date;Time;Home;xG;Score;xG;Away;Attendance;Venue;Referee;Match Report;Notes
1;Sat;24.08.19;18:00;Parma;0.4;0–1;1.3;Juventus;20,073;Stadio Ennio Tardini;Fabio Maresca;Match Report;
1;Sat;24.08.19;20:45;Fiorentina;1.7;3–4;2;Napoli;33,614;Stadio Artemio Franchi;Davide Massa;Match Report;
1;Sun;25.08.19;18:00;Udinese;0.9;1–0;0.4;Milan;24,584;Dacia Arena;Fabrizio Pasqua;Match Report;
1;Sun;25.08.19;20:45;Torino;1.2;2–1;1.5;Sassuolo;16,536;Stadio Olimpico di Torino;Maurizio Mariani;Match Report;
1;Sun;25.08.19;20:45;SPAL;1.6;2–3;1.7;Atalanta;11,706;Stadio Paolo Mazza;Gianluca Manganiello;Match Report;
1;Sun;25.08.19;20:45;Roma;1.9;3–3;1.3;Genoa;38,779;Stadio Olimpico;Giampaolo Calvarese;Match Report;
1;Sun;25.08.19;20:45;Hellas Verona;0.2;1–1;1.6;Bologna;16,324;Stadio Marc'Antonio Bentegodi;Antonio Giua;Match Report;
1;Sun;25.08.19;20:45;Cagliari;1;0–1;1.5;Brescia;16,099;Sardegna Arena;Eugenio Abbattista;Match Report;
1;Sun;25.08.19;20:45;Sampdoria;0.8;0–3;2.3;Lazio;19,500;Stadio Comunale Luigi Ferraris;Gianluca Rocchi;Match Report;
1;Mon;26.08.19;20:45;Inter;1.7;4–0;0.7;Lecce;64,188;Stadio Giuseppe Meazza;Federico La Penna;Match Report;
;;;;;;;;;;;;;
2;Fri;30.08.19;20:45;Bologna;2.8;1–0;0.7;SPAL;25,086;Stadio Renato Dall'Ara;Marco Di Bello;Match Report;
2;Sat;31.08.19;18:00;Milan;1.5;1–0;0.6;Brescia;56,691;Stadio Giuseppe Meazza;Rosario Abisso;Match Report;
2;Sat;31.08.19;20:45;Juventus;1.4;4–3;1.4;Napoli;39,203;Allianz Stadium;Daniele Orsato;Match Report;
2;Sun;01.09.19;18:00;Lazio;1.9;1–1;1.3;Roma;52,000;Stadio Olimpico;Marco Guida;Match Report;
2;Sun;01.09.19;20:45;Atalanta;2;2–3;1.1;Torino;8,182;Stadio Ennio Tardini;Daniele Doveri;Match Report;
2;Sun;01.09.19;20:45;Cagliari;0.4;1–2;1.5;Inter;16,412;Sardegna Arena;Fabio Maresca;Match Report;
2;Sun;01.09.19;20:45;Lecce;1.3;0–1;1.4;Hellas Verona;24,418;Stadio Comunale Via Del Mare;Juan Sacchi;Match Report;
2;Sun;01.09.19;20:45;Udinese;1.5;1–3;0.6;Parma;20,410;Dacia Arena;Marco Piccinini;Match Report;
2;Sun;01.09.19;20:45;Genoa;2.1;2–1;1.9;Fiorentina;20,000;Stadio Comunale Luigi Ferraris;Piero Giacomelli;Match Report;
2;Sun;01.09.19;20:45;Sassuolo;1.6;4–1;1.5;Sampdoria;9,608;Stadio Città del Tricolore;Luca Pairetto;Match Report;
;;;;;;;;;;;;;
3;Sat;14.09.19;15:00;Fiorentina;1.6;0–0;0.3;Juventus;40,000;Stadio Artemio Franchi;Massimiliano Irrati;Match Report;
3;Sat;14.09.19;18:00;Napoli;1.3;2–0;1.5;Sampdoria;40,000;Stadio San Paolo;Federico La Penna;Match Report;
3;Sat;14.09.19;20:45;Inter;1.4;1–0;0.4;Udinese;57,991;Stadio Giuseppe Meazza;Maurizio Mariani;Match Report;
3;Sun;15.09.19;12:30;Genoa;1.4;1–2;2.5;Atalanta;23,395;Stadio Comunale Luigi Ferraris;Michael Fabbri;Match Report;
3;Sun;15.09.19;15:00;Parma;1;1–3;0.7;Cagliari;14,068;Stadio Ennio Tardini;Fabrizio Pasqua;Match Report;
3;Sun;15.09.19;15:00;Brescia;0.8;3–4;3.2;Bologna;15,000;Stadio Mario Rigamonti;Gianluca Rocchi;Match Report;
3;Sun;15.09.19;15:00;SPAL;1.1;2–1;1.5;Lazio;13,650;Stadio Paolo Mazza;Giampaolo Calvarese;Match Report;
3;Sun;15.09.19;18:00;Roma;2.1;4–2;1.2;Sassuolo;34,407;Stadio Olimpico;Daniele Chiffi;Match Report;
