Wk;Day;Date;Time;Home;xG;Score;xG;Away;Attendance;Venue;Referee;Match Report;Notes
1;Sat;18.08.18;18:00;Chievo;1;2–3;2.3;Juventus;29,500;Stadio Marc'Antonio Bentegodi;Fabrizio Pasqua;Match Report;
1;Sat;18.08.18;20:30;Lazio;1.1;1–2;1.5;Napoli;32,000;Stadio Olimpico;Luca Banti;Match Report;
1;Sun;19.08.18;18:00;Torino;0.7;0–1;1.5;Roma;18,000;Stadio Olimpico di Torino;Marco Di Bello;Match Report;
1;Sun;19.08.18;20:30;Empoli;0.9;2–0;0.9;Cagliari;7,335;Stadio Carlo Castellani;Daniele Chiffi;Match Report;
1;Sun;19.08.18;20:30;Bologna;0.9;0–1;0.7;SPAL;21,158;Stadio Renato Dall'Ara;Piero Giacomelli;Match Report;
1;Sun;19.08.18;20:30;Parma;1.4;2–2;2.1;Udinese;13,141;Stadio Ennio Tardini;Giampaolo Calvarese;Match Report;
1;Sun;19.08.18;20:30;Sassuolo;1.6;1–0;1.4;Inter;19,104;Stadio Città del Tricolore;Maurizio Mariani;Match Report;
1;Mon;20.08.18;20:30;Atalanta;2.3;4–0;0.5;Frosinone;18,217;Stadio Atleti Azzurri d'Italia;Marco Piccinini;Match Report;
;;;;;;;;;;;;;
2;Sat;25.08.18;18:00;Juventus;2.2;2–0;0.2;Lazio;40,171;Allianz Stadium;Massimiliano Irrati;Match Report;
2;Sat;25.08.18;20:30;Napoli;2.1;3–2;0.7;Milan;34,474;Stadio San Paolo;Paolo Valeri;Match Report;
2;Sun;26.08.18;18:00;SPAL;1.2;1–0;0.5;Parma;6,000;Stadio Paolo Mazza;Daniele Orsato;Match Report;
2;Sun;26.08.18;20:30;Fiorentina;3.1;6–1;1.2;Chievo;27,790;Stadio Artemio Franchi;Rosario Abisso;Match Report;
2;Sun;26.08.18;20:30;Inter;1.4;2–2;1.6;Torino;59,135;Stadio Giuseppe Meazza;Paolo Mazzoleni;Match Report;
2;Sun;26.08.18;20:30;Genoa;1.1;2–1;2.3;Empoli;19,523;Stadio Comunale Luigi Ferraris;Livio Marinelli;Match Report;
