Wk;Day;Date;Time;Home;xG;Score;xG;Away;Attendance;Venue;Referee;Match Report;Notes
5;Wed;20.09.17;20:00;Leganés;0.9;0–0;0.7;Girona;9,781;Estadio Municipal de Butarque;Mario Melero;Match Report;
5;Wed;20.09.17;21:00;La Coruña;2.1;1–0;0.6;Alavés;18,518;Estadio Municipal de Riazor;David Medié;Match Report;
5;Wed;20.09.17;22:00;Real Madrid;3.1;0–1;0.8;Betis;65,102;Estadio Santiago Bernabéu;Antonio Matéu Lahoz;Match Report;
5;Wed;20.09.17;22:00;Sevilla;1.5;1–0;0.2;Las Palmas;35,317;Estadio Ramón Sánchez Pizjuán;José González;Match Report;
5;Thu;21.09.17;20:00;Villarreal;1.3;0–0;0.7;Espanyol;17,094;Estadio de la Cerámica;José Munuera;Match Report;
5;Thu;21.09.17;21:00;Celta Vigo;0.6;1–1;0.9;Getafe;14,700;Estadio de Balaídos;Daniel Trujillo;Match Report;
5;Thu;21.09.17;22:00;Levante;1.8;3–0;1.2;Real Sociedad;17,415;Estadio Ciudad de Valencia;Jesús Gil;Match Report;
;;;;;;;;;;;;;
6;Sat;23.09.17;13:00;Atlético Madrid;1.7;2–0;0.5;Sevilla;60,823;Estadio Wanda Metropolitano;Juan Martínez;Match Report;
6;Sat;23.09.17;16:15;Alavés;0.7;1–2;3.1;Real Madrid;19,159;Estadio de Mendizorroza;Alberto Undiano;Match Report;
6;Sat;23.09.17;18:30;Málaga;1.6;3–3;1.4;Athletic Club;23,425;Estadio La Rosaleda;Carlos del Cerro;Match Report;
6;Sat;23.09.17;20:45;Girona;0.7;0–3;1.1;Barcelona;13,305;Estadi Municipal de Montilivi;José Sánchez;Match Report;
6;Sun;24.09.17;12:00;Espanyol;3;4–1;1.4;La Coruña;19,585;RCDE Stadium;Ricardo de Burgos;Match Report;
6;Sun;24.09.17;16:15;Getafe;2.2;4–0;0.6;Villarreal;10,874;Coliseum Alfonso Pérez;Ignacio Iglesias;Match Report;
6;Sun;24.09.17;17:30 (18:30);Las Palmas;0.6;0–2;1.2;Leganés;17,560;Estadio de Gran Canaria;Alberola Rojas;Match Report;
6;Sun;24.09.17;18:30;Eibar;0.8;0–4;1.4;Celta Vigo;5,345;Estadio Municipal de Ipurúa;David Fernández;Match Report;
6;Sun;24.09.17;20:45;Real Sociedad;0.8;2–3;1.8;Valencia;20,266;Estadio Municipal de Anoeta;Santiago Jaime;Match Report;
6;Mon;25.09.17;21:00;Betis;1.8;4–0;0.4;Levante;48,237;Estadio Benito Villamarín;Pablo González;Match Report;
;;;;;;;;;;;;;
7;Fri;29.09.17;21:00;Celta Vigo;2.3;3–3;1.7;Girona;16,126;Estadio de Balaídos;Pablo González;Match Report;
7;Sat;30.09.17;13:00;La Coruña;2;2–1;1.3;Getafe;19,323;Estadio Municipal de Riazor;Javier Estrada;Match Report;
7;Sat;30.09.17;16:15;Sevilla;1.7;2–0;0.5;Málaga;34,430;Estadio Ramón Sánchez Pizjuán;Daniel Trujillo;Match Report;
7;Sat;30.09.17;18:30;Levante;0.7;0–2;2.2;Alavés;18,528;Estadio Ciudad de Valencia;David Fernández;Match Report;
7;Sat;30.09.17;20:45;Leganés;0.6;0–0;1.2;Atlético Madrid;11,454;Estadio Municipal de Butarque;Jesús Gil;Match Report;
7;Sun;01.10.17;12:00;Real Sociedad;1.8;4–4;2;Betis;19,669;Estadio Municipal de Anoeta;Alfonso Álvarez;Match Report;
7;Sun;01.10.17;16:15;Barcelona;2.7;3–0;0.3;Las Palmas;;Camp Nou;José Munuera;Match Report;
7;Sun;01.10.17;18:30;Valencia;2.2;3–2;1.5;Athletic Club;42,070;Estadio de Mestalla;Alejandro Hernández;Match Report;
7;Sun;01.10.17;18:30;Villarreal;2.5;3–0;0.2;Eibar;17,090;Estadio de la Cerámica;Mario Melero;Match Report;
7;Sun;01.10.17;20:45;Real Madrid;2.3;2–0;0.4;Espanyol;71,205;Estadio Santiago Bernabéu;José González;Match Report;
;;;;;;;;;;;;;
8;Fri;13.10.17;21:00;Espanyol;1.9;0–0;1.2;Levante;19,365;RCDE Stadium;Alberto Undiano;Match Report;
8;Sat;14.10.17;13:00;Athletic Club;1.6;1–0;1.7;Sevilla;40,197;San Mamés;Ignacio Iglesias;Match Report;
8;Sat;14.10.17;16:15;Getafe;1.3;1–2;1.6;Real Madrid;15,350;Coliseum Alfonso Pérez;Juan Martínez;Match Report;
8;Sat;14.10.17;18:30;Alavés;0.6;0–2;0.6;Real Sociedad;19,840;Estadio de Mendizorroza;Alberola Rojas;Match Report;
8;Sat;14.10.17;20:45;Atlético Madrid;0.5;1–1;1.2;Barcelona;64,393;Estadio Wanda Metropolitano;Antonio Matéu Lahoz;Match Report;
8;Sun;15.10.17;12:00;Eibar;0.6;0–0;0.3;La Coruña;5,125;Estadio Municipal de Ipurúa;Santiago Jaime;Match Report;
8;Sun;15.10.17;16:15;Girona;1.5;1–2;0.9;Villarreal;9,935;Estadi Municipal de Montilivi;Carlos del Cerro;Match Report;
8;Sun;15.10.17;18:30;Málaga;0.6;0–2;2;Leganés;23,951;Estadio La Rosaleda;José González;Match Report;
8;Sun;15.10.17;20:45;Betis;2.4;3–6;1.8;Valencia;48,792;Estadio Benito Villamarín;José Sánchez;Match Report;
8;Mon;16.10.17;20:00 (21:00);Las Palmas;2.3;2–5;1.2;Celta Vigo;15,799;Estadio de Gran Canaria;David Medié;Match Report;
;;;;;;;;;;;;;
9;Sat;21.10.17;13:00;Levante;0.5;1–1;0.8;Getafe;18,064;Estadio Ciudad de Valencia;Ricardo de Burgos;Match Report;
9;Sat;21.10.17;16:15;Betis;1;2–0;1.2;Alavés;49,243;Estadio Benito Villamarín;Daniel Trujillo;Match Report;
9;Sat;21.10.17;18:30;Valencia;1.6;4–0;1.1;Sevilla;44,307;Estadio de Mestalla;Javier Estrada;Match Report;
9;Sat;21.10.17;20:45;Barcelona;1.6;2–0;0.8;Málaga;74,397;Camp Nou;Pablo González;Match Report;
9;Sun;22.10.17;12:00;Villarreal;2.5;4–0;1.1;Las Palmas;16,606;Estadio de la Cerámica;David Fernández;Match Report;
9;Sun;22.10.17;16:15;Celta Vigo;1.2;0–1;0.6;Atlético Madrid;12,978;Estadio de Balaídos;José Munuera;Match Report;
9;Sun;22.10.17;18:30;Leganés;1;1–0;0.8;Athletic Club;11,454;Estadio Municipal de Butarque;Antonio Matéu Lahoz;Match Report;
9;Sun;22.10.17;20:45;Real Madrid;1.3;3–0;0.7;Eibar;66,781;Estadio Santiago Bernabéu;Alfonso Álvarez;Match Report;
9;Mon;23.10.17;20:00;Real Sociedad;1.2;1–1;0.4;Espanyol;18,515;Estadio Municipal de Anoeta;Mario Melero;Match Report;
9;Mon;23.10.17;21:00;La Coruña;1.9;1–2;2;Girona;17,463;Estadio Municipal de Riazor;Jesús Gil;Match Report;
;;;;;;;;;;;;;
10;Sat;28.10.17;13:00;Alavés;0.9;1–2;1.2;Valencia;18,638;Estadio de Mendizorroza;José González;Match Report;
10;Sat;28.10.17;18:30;Atlético Madrid;1.6;1–1;0.8;Villarreal;61,421;Estadio Wanda Metropolitano;Alberto Undiano;Match Report;
10;Sat;28.10.17;20:45;Athletic Club;1.1;0–2;2.3;Barcelona;43,570;San Mamés;Juan Martínez;Match Report;
10;Sat;28.10.17;22:30;Sevilla;1.4;2–1;1.1;Leganés;32,097;Estadio Ramón Sánchez Pizjuán;David Medié;Match Report;
10;Sun;29.10.17;12:00;Getafe;1.9;2–1;1.1;Real Sociedad;11,010;Coliseum Alfonso Pérez;José Sánchez;Match Report;
10;Sun;29.10.17;16:15;Girona;1.7;2–1;1.4;Real Madrid;13,382;Estadi Municipal de Montilivi;Alejandro Hernández;Match Report;
10;Sun;29.10.17;18:30;Eibar;1.6;2–2;1;Levante;5,131;Estadio Municipal de Ipurúa;Alberola Rojas;Match Report;
10;Sun;29.10.17;20:45;Málaga;1.8;2–1;1.5;Celta Vigo;19,541;Estadio La Rosaleda;Santiago Jaime;Match Report;
10;Mon;30.10.17;20:00 (21:00);Las Palmas;1.1;1–3;1.6;La Coruña;14,805;Estadio de Gran Canaria;Carlos del Cerro;Match Report;
10;Mon;30.10.17;21:00;Espanyol;0.6;1–0;0.5;Betis;17,856;RCDE Stadium;Ignacio Iglesias;Match Report;
;;;;;;;;;;;;;
11;Fri;03.11.17;21:00;Betis;1.1;2–2;0.5;Getafe;42,323;Estadio Benito Villamarín;Antonio Matéu Lahoz;Match Report;
11;Sat;04.11.17;13:00;Valencia;2.2;3–0;1;Leganés;39,694;Estadio de Mestalla;Ricardo de Burgos;Match Report;
11;Sat;04.11.17;16:15;La Coruña;0.5;0–1;0.5;Atlético Madrid;22,733;Estadio Municipal de Riazor;Alfonso Álvarez;Match Report;
11;Sat;04.11.17;18:30;Alavés;1.6;1–0;1.3;Espanyol;19,368;Estadio de Mendizorroza;Pablo González;Match Report;
11;Sat;04.11.17;20:45;Barcelona;1.8;2–1;0.4;Sevilla;70,723;Camp Nou;José González;Match Report;
11;Sun;05.11.17;12:00;Levante;0.6;1–2;1.1;Girona;18,324;Estadio Ciudad de Valencia;José Munuera;Match Report;
11;Sun;05.11.17;16:15;Celta Vigo;0.7;3–1;1.6;Athletic Club;19,779;Estadio de Balaídos;Jesús Gil;Match Report;
11;Sun;05.11.17;18:30;Real Sociedad;2.3;3–1;0.5;Eibar;20,387;Estadio Municipal de Anoeta;Daniel Trujillo;Match Report;
11;Sun;05.11.17;18:30;Villarreal;0.9;2–0;0.8;Málaga;17,755;Estadio de la Cerámica;Javier Estrada;Match Report;
11;Sun;05.11.17;20:45;Real Madrid;2;3–0;0.1;Las Palmas;67,120;Estadio Santiago Bernabéu;José Sánchez;Match Report;
;;;;;;;;;;;;;
12;Fri;17.11.17;21:00;Girona;1.2;1–1;1.3;Real Sociedad;10,136;Estadi Municipal de Montilivi;Ignacio Iglesias;Match Report;
12;Sat;18.11.17;13:00;Getafe;2.5;4–1;0.6;Alavés;10,014;Coliseum Alfonso Pérez;Santiago Jaime;Match Report;
12;Sat;18.11.17;16:15;Leganés;1.1;0–3;1.9;Barcelona;11,454;Estadio Municipal de Butarque;Alberto Undiano;Match Report;
12;Sat;18.11.17;18:30;Sevilla;1.3;2–1;1.7;Celta Vigo;35,030;Estadio Ramón Sánchez Pizjuán;Carlos del Cerro;Match Report;
