Wk;Day;Date;Time;Home;xG;Score;xG;Away;Attendance;Venue;Referee;Match Report;Notes
5;Wed;26.09.18;20:30;M'Gladbach;1.6;3–1;1.3;Eint Frankfurt;41,257;Stadion im Borussia-Park;Sven Jablonski;Match Report;
5;Wed;26.09.18;20:30;Dortmund;2.1;7–0;0.1;Nürnberg;75,700;Signal Iduna Park;Patrick Ittrich;Match Report;
;;;;;;;;;;;;;
6;Fri;28.09.18;20:30;Hertha BSC;1.2;2–0;2;Bayern Munich;74,669;Olympiastadion Berlin;Marco Fritz;Match Report;
6;Sat;29.09.18;15:30;Hoffenheim;1.8;1–2;1.6;RB Leipzig;28,115;PreZero Arena;Deniz Aytekin;Match Report;
6;Sat;29.09.18;15:30;Stuttgart;2.3;2–1;1.5;Werder Bremen;58,569;Mercedes-Benz Arena;Tobias Welz;Match Report;
6;Sat;29.09.18;15:30;Schalke 04;1;1–0;0.9;Mainz 05;61,810;Veltins-Arena;Benjamin Cortus;Match Report;
6;Sat;29.09.18;15:30;Nürnberg;2.2;3–0;1.1;Düsseldorf;36,102;Max-Morlock-Stadion;Harm Osmers;Match Report;
6;Sat;29.09.18;15:30;Wolfsburg;1.3;2–2;0.7;M'Gladbach;24,100;Volkswagen Arena;Felix Zwayer;Match Report;
6;Sat;29.09.18;18:30;Leverkusen;1.1;2–4;2.7;Dortmund;30,210;BayArena;Felix Brych;Match Report;
6;Sun;30.09.18;15:30;Eint Frankfurt;2.1;4–1;0.4;Hannover 96;46,300;Commerzbank-Arena;Robert Hartmann;Match Report;
6;Sun;30.09.18;18:00;Augsburg;3.8;4–1;1.5;Freiburg;26,488;WWK Arena;Robert Kampka;Match Report;
;;;;;;;;;;;;;
7;Fri;05.10.18;20:30;Werder Bremen;1;2–0;0.4;Wolfsburg;42,100;Weserstadion;Martin Petersen;Match Report;
7;Sat;06.10.18;15:30;Dortmund;1.9;4–3;2.2;Augsburg;81,365;Signal Iduna Park;Markus Schmidt;Match Report;
7;Sat;06.10.18;15:30;Mainz 05;2.1;0–0;1.5;Hertha BSC;22,405;Opel Arena;Daniel Schlager;Match Report;
7;Sat;06.10.18;15:30;Düsseldorf;0.6;0–2;1.6;Schalke 04;52,000;Merkur Spielarena;Sven Jablonski;Match Report;
7;Sat;06.10.18;15:30;Hannover 96;1.7;3–1;0.9;Stuttgart;40,800;HDI-Arena;Sascha Stegemann;Match Report;
7;Sat;06.10.18;18:30;Bayern Munich;1.6;0–3;0.5;M'Gladbach;75,000;Allianz Arena;Frank Willenborg;Match Report;
7;Sun;07.10.18;13:30;Freiburg;0.3;0–0;1.1;Leverkusen;23,800;Schwarzwald-Stadion;Bastian Dankert;Match Report;
7;Sun;07.10.18;15:30;Hoffenheim;2.2;1–2;1;Eint Frankfurt;29,785;PreZero Arena;Daniel Siebert;Match Report;
7;Sun;07.10.18;18:00;RB Leipzig;2.1;6–0;0.2;Nürnberg;37,389;Red Bull Arena;Tobias Stieler;Match Report;
;;;;;;;;;;;;;
8;Fri;19.10.18;20:30;Eint Frankfurt;3.7;7–1;1;Düsseldorf;51,000;Commerzbank-Arena;Deniz Aytekin;Match Report;
8;Sat;20.10.18;15:30;Nürnberg;1.3;1–3;2.2;Hoffenheim;36,472;Max-Morlock-Stadion;Felix Zwayer;Match Report;
8;Sat;20.10.18;15:30;Stuttgart;1;0–4;1.2;Dortmund;59,000;Mercedes-Benz Arena;Manuel Gräfe;Match Report;
8;Sat;20.10.18;15:30;Leverkusen;2.2;2–2;0.6;Hannover 96;26,435;BayArena;Patrick Ittrich;Match Report;
8;Sat;20.10.18;15:30;Augsburg;0.2;0–0;0.9;RB Leipzig;28,703;WWK Arena;Tobias Welz;Match Report;
