Wk;Day;Date;Time;Home;xG;Score;xG;Away;Attendance;Venue;Referee;Match Report;Notes
5;Mon;26.10.20;20:30;Leverkusen;2.8;3–1;0.4;Augsburg;;BayArena;Sören Storks;Match Report;
;;;;;;;;;;;;;
6;Fri;30.10.20;20:30;Schalke 04;0.5;1–1;1.6;Stuttgart;;Veltins-Arena;Benjamin Brand;Match Report;
6;Sat;31.10.20;15:30;Arminia;0.2;0–2;2.7;Dortmund;;SchücoArena;Bastian Dankert;Match Report;
6;Sat;31.10.20;15:30;Köln;1;1–2;1;Bayern Munich;;RheinEnergieSTADION;Frank Willenborg;Match Report;
6;Sat;31.10.20;15:30;Augsburg;2;3–1;0.8;Mainz 05;;WWK Arena;Marco Fritz;Match Report;
6;Sat;31.10.20;15:30;Eint Frankfurt;2;1–1;0.9;Werder Bremen;;Commerzbank-Arena;Felix Brych;Match Report;
6;Sat;31.10.20;18:30;M'Gladbach;0.5;1–0;0.9;RB Leipzig;;Stadion im Borussia-Park;Daniel Siebert;Match Report;
6;Sun;01.11.20;15:30;Freiburg;1.1;2–4;1.5;Leverkusen;;Schwarzwald-Stadion;Benjamin Cortus;Match Report;
6;Sun;01.11.20;18:00;Hertha BSC;1.2;1–1;0.5;Wolfsburg;;Olympiastadion Berlin;Martin Petersen;Match Report;
6;Mon;02.11.20;20:30;Hoffenheim;1.3;1–3;4;Union Berlin;;PreZero Arena;Robert Hartmann;Match Report;
;;;;;;;;;;;;;
7;Fri;06.11.20;20:30;Werder Bremen;1.7;1–1;0.4;Köln;;Weserstadion;Florian Badstübner;Match Report;
7;Sat;07.11.20;15:30;Augsburg;0.7;0–3;2.4;Hertha BSC;;WWK Arena;Frank Willenborg;Match Report;
7;Sat;07.11.20;15:30;RB Leipzig;2;3–0;1;Freiburg;;Red Bull Arena;Felix Zwayer;Match Report;
7;Sat;07.11.20;15:30;Mainz 05;3.1;2–2;1.7;Schalke 04;;Opel Arena;Patrick Ittrich;Match Report;
7;Sat;07.11.20;15:30;Stuttgart;2.3;2–2;2.4;Eint Frankfurt;;Mercedes-Benz Arena;Sascha Stegemann;Match Report;
7;Sat;07.11.20;15:30;Union Berlin;2.1;5–0;0.3;Arminia;;Stadion An der Alten Försterei;Matthias Jöllenbeck;Match Report;
7;Sat;07.11.20;18:30;Dortmund;2;2–3;1.1;Bayern Munich;;Signal Iduna Park;Manuel Gräfe;Match Report;
7;Sun;08.11.20;15:30;Wolfsburg;2;2–1;2;Hoffenheim;;Volkswagen Arena;Sven Jablonski;Match Report;
7;Sun;08.11.20;18:00;Leverkusen;1.6;4–3;2.5;M'Gladbach;;BayArena;Harm Osmers;Match Report;
;;;;;;;;;;;;;
8;Sat;21.11.20;15:30;Arminia;0;1–2;1.5;Leverkusen;;SchücoArena;Felix Brych;Match Report;
8;Sat;21.11.20;15:30;Bayern Munich;1.2;1–1;1.4;Werder Bremen;;Allianz Arena;Guido Winkmann;Match Report;
8;Sat;21.11.20;15:30;Schalke 04;0.9;0–2;2.1;Wolfsburg;;Veltins-Arena;Marco Fritz;Match Report;
8;Sat;21.11.20;15:30;M'Gladbach;2;1–1;0.7;Augsburg;;Stadion im Borussia-Park;Markus Schmidt;Match Report;
8;Sat;21.11.20;15:30;Hoffenheim;1.9;3–3;2.1;Stuttgart;;PreZero Arena;Daniel Siebert;Match Report;
8;Sat;21.11.20;18:30;Eint Frankfurt;1.1;1–1;0.9;RB Leipzig;;Commerzbank-Arena;Sören Storks;Match Report;
8;Sat;21.11.20;20:30;Hertha BSC;1.3;2–5;3.5;Dortmund;;Olympiastadion Berlin;Bastian Dankert;Match Report;
8;Sun;22.11.20;15:30;Freiburg;2.2;1–3;2.8;Mainz 05;;Schwarzwald-Stadion;Martin Petersen;Match Report;
8;Sun;22.11.20;18:00;Köln;0.7;1–2;1.9;Union Berlin;;RheinEnergieSTADION;Tobias Stieler;Match Report;
;;;;;;;;;;;;;
9;Fri;27.11.20;20:30;Wolfsburg;1.8;5–3;1;Werder Bremen;;Volkswagen Arena;Christian Dingert;Match Report;
9;Sat;28.11.20;15:30;Dortmund;2.9;1–2;1.6;Köln;;Signal Iduna Park;Benjamin Brand;Match Report;
9;Sat;28.11.20;15:30;RB Leipzig;2.3;2–1;1.3;Arminia;;Red Bull Arena;Robert Hartmann;Match Report;
9;Sat;28.11.20;15:30;Stuttgart;1.8;1–3;1;Bayern Munich;;Mercedes-Benz Arena;Harm Osmers;Match Report;
9;Sat;28.11.20;15:30;Augsburg;0.4;1–1;0.8;Freiburg;;WWK Arena;Robert Schröder;Match Report;
9;Sat;28.11.20;15:30;Union Berlin;2.8;3–3;2;Eint Frankfurt;;Stadion An der Alten Försterei;Tobias Reichel;Match Report;
9;Sat;28.11.20;18:30;M'Gladbach;3.1;4–1;1;Schalke 04;;Stadion im Borussia-Park;Manuel Gräfe;Match Report;
9;Sun;29.11.20;15:30;Leverkusen;0.7;0–0;0.4;Hertha BSC;;BayArena;Daniel Schlager;Match Report;
9;Sun;29.11.20;18:00;Mainz 05;1.4;1–1;1;Hoffenheim;;Opel Arena;Sascha Stegemann;Match Report;
;;;;;;;;;;;;;
10;Fri;04.12.20;20:30;Hertha BSC;0.7;3–1;0.3;Union Berlin;;Olympiastadion Berlin;Felix Brych;Match Report;
10;Sat;05.12.20;15:30;Arminia;0.8;2–1;2;Mainz 05;;SchücoArena;Marco Fritz;Match Report;
10;Sat;05.12.20;15:30;Freiburg;3.3;2–2;1.3;M'Gladbach;;Schwarzwald-Stadion;Tobias Stieler;Match Report;
10;Sat;05.12.20;15:30;Eint Frankfurt;0.8;1–1;1.2;Dortmund;;Commerzbank-Arena;Guido Winkmann;Match Report;
10;Sat;05.12.20;15:30;Köln;0.7;2–2;1.6;Wolfsburg;;RheinEnergieSTADION;Sven Jablonski;Match Report;
10;Sat;05.12.20;18:30;Bayern Munich;1.2;3–3;1.5;RB Leipzig;;Allianz Arena;Daniel Siebert;Match Report;
10;Sun;06.12.20;15:30;Werder Bremen;0.8;1–2;2.3;Stuttgart;;Weserstadion;Frank Willenborg;Match Report;
