Wk;Day;Date;Time;Home;Score;Away;Attendance;Venue;Referee;Match Report;Notes
1;Sat;20.08.16;18:00;Roma;4–0;Udinese;30,940;Stadio Olimpico;Marco Di Bello;Match Report;
1;Sat;20.08.16;20:45;Juventus;2–1;Fiorentina;40,184;Allianz Stadium;Davide Massa;Match Report;
1;Sun;21.08.16;18:00;Milan;3–2;Torino;32,254;Stadio Giuseppe Meazza;Antonio Damato;Match Report;
1;Sun;21.08.16;20:45;Palermo;0–1;Sassuolo;12,935;Stadio Renzo Barbera;Luca Pairetto;Match Report;
1;Sun;21.08.16;20:45;Bologna;1–0;Crotone;18,396;Stadio Renato Dall'Ara;Claudio Gavillucci;Match Report;
1;Sun;21.08.16;20:45;Pescara;2–2;Napoli;16,758;Stadio Adriatico-Giovanni Cornacchia;Piero Giacomelli;Match Report;
1;Sun;21.08.16;20:45;Empoli;0–1;Sampdoria;8,000;Stadio Carlo Castellani;Maurizio Mariani;Match Report;
1;Sun;21.08.16;20:45;Chievo;2–0;Inter;24,000;Stadio Marc'Antonio Bentegodi;Massimiliano Irrati;Match Report;
1;Sun;21.08.16;20:45;Genoa;3–1;Cagliari;20,443;Stadio Comunale Luigi Ferraris;Daniele Orsato;Match Report;
1;Sun;21.08.16;20:45;Atalanta;3–4;Lazio;14,710;Stadio Atleti Azzurri d'Italia;Luca Banti;Match Report;
;;;;;;;;;;;
2;Sat;27.08.16;18:00;Lazio;0–1;Juventus;35,000;Stadio Olimpico;Marco Guida;Match Report;
2;Sat;27.08.16;20:45;Napoli;4–2;Milan;27,231;Stadio San Paolo;Paolo Valeri;Match Report;
2;Sun;28.08.16;18:00;Inter;1–1;Palermo;40,527;Stadio Giuseppe Meazza;Carmine Russo;Match Report;
2;Sun;28.08.16;20:45;Torino;5–1;Bologna;17,077;Stadio Olimpico di Torino;Gianluca Rocchi;Match Report;
2;Sun;28.08.16;20:45;Udinese;2–0;Empoli;13,239;Dacia Arena;Fabio Maresca;Match Report;
2;Sun;28.08.16;20:45;Cagliari;2–2;Roma;15,406;Stadio Sant'Elia;Paolo Mazzoleni;Match Report;
2;Sun;28.08.16;20:45;Sampdoria;2–1;Atalanta;19,045;Stadio Comunale Luigi Ferraris;Daniele Doveri;Match Report;
2;Sun;28.08.16;20:45;Fiorentina;1–0;Chievo;32,304;Stadio Artemio Franchi;Michael Fabbri;Match Report;
2;Sun;28.08.16;20:45;Crotone;1–3;Genoa;821;Stadio Adriatico-Giovanni Cornacchia;Nicola Rizzoli;Match Report;
2;Sun;28.08.16;20:45;Sassuolo;0–3;Pescara;9,071;Stadio Città del Tricolore;Paolo Tagliavento;Match Report;Match awarded to Pescara
;;;;;;;;;;;
3;Sat;10.09.16;18:00;Juventus;3–1;Sassuolo;39,040;Allianz Stadium;Marco Di Bello;Match Report;
3;Sat;10.09.16;20:45;Palermo;0–3;Napoli;10,961;Stadio Renzo Barbera;Davide Massa;Match Report;
3;Sun;11.09.16;12:30;Bologna;2–1;Cagliari;17,903;Stadio Renato Dall'Ara;Rosario Abisso;Match Report;
3;Sun;11.09.16;15:00;Roma;3–2;Sampdoria;27,630;Stadio Olimpico;Piero Giacomelli;Match Report;
3;Sun;11.09.16;15:00;Atalanta;2–1;Torino;14,925;Stadio Atleti Azzurri d'Italia;Maurizio Mariani;Match Report;
3;Sun;11.09.16;15:00;Chievo;1–1;Lazio;10,000;Stadio Marc'Antonio Bentegodi;Daniele Orsato;Match Report;
3;Sun;11.09.16;15:00;Milan;0–1;Udinese;28,303;Stadio Giuseppe Meazza;Giampaolo Calvarese;Match Report;
3;Sun;11.09.16;20:45;Pescara;1–2;Inter;20,088;Stadio Adriatico-Giovanni Cornacchia;Antonio Damato;Match Report;
3;Mon;12.09.16;20:45;Empoli;2–1;Crotone;7,678;Stadio Carlo Castellani;Paolo Valeri;Match Report;
;;;;;;;;;;;
4;Fri;16.09.16;20:45;Sampdoria;0–1;Milan;19,708;Stadio Comunale Luigi Ferraris;Massimiliano Irrati;Match Report;
4;Sat;17.09.16;18:00;Lazio;3–0;Pescara;12,000;Stadio Olimpico;Fabio Maresca;Match Report;
4;Sat;17.09.16;20:45;Napoli;3–1;Bologna;21,083;Stadio San Paolo;Daniele Doveri;Match Report;
4;Sun;18.09.16;12:30;Udinese;1–2;Chievo;5,878;Dacia Arena;Luca Pairetto;Match Report;
4;Sun;18.09.16;15:00;Crotone;1–1;Palermo;510;Stadio Adriatico-Giovanni Cornacchia;Domenico Celi;Match Report;
4;Sun;18.09.16;15:00;Sassuolo;2–0;Genoa;10,134;Stadio Città del Tricolore;Claudio Gavillucci;Match Report;
4;Sun;18.09.16;15:00;Torino;0–0;Empoli;16,403;Stadio Olimpico di Torino;Daniele Chiffi;Match Report;
4;Sun;18.09.16;15:00;Cagliari;3–0;Atalanta;12,301;Stadio Sant'Elia;Michael Fabbri;Match Report;
4;Sun;18.09.16;18:00;Inter;2–1;Juventus;76,500;Stadio Giuseppe Meazza;Paolo Tagliavento;Match Report;
4;Sun;18.09.16;20:45;Fiorentina;1–0;Roma;27,359;Stadio Artemio Franchi;Nicola Rizzoli;Match Report;
;;;;;;;;;;;
5;Tue;20.09.16;20:45;Milan;2–0;Lazio;26,464;Stadio Giuseppe Meazza;Davide Massa;Match Report;
5;Wed;21.09.16;18:30;Bologna;2–0;Sampdoria;16,998;Stadio Renato Dall'Ara;Giampaolo Calvarese;Match Report;
5;Wed;21.09.16;20:45;Pescara;0–0;Torino;13,693;Stadio Adriatico-Giovanni Cornacchia;Luca Banti;Match Report;
5;Wed;21.09.16;20:45;Empoli;0–2;Inter;10,554;Stadio Carlo Castellani;Marco Guida;Match Report;
5;Wed;21.09.16;20:45;Atalanta;0–1;Palermo;14,094;Stadio Atleti Azzurri d'Italia;Davide Ghersini;Match Report;
5;Wed;21.09.16;20:45;Chievo;2–1;Sassuolo;9,000;Stadio Marc'Antonio Bentegodi;Piero Giacomelli;Match Report;
5;Wed;21.09.16;20:45;Roma;4–0;Crotone;24,325;Stadio Olimpico;Carmine Russo;Match Report;
