Wk;Day;Date;Time;Home;Score;Away;Attendance;Venue;Referee;Match Report;Notes
1;Sat;23.08.14;19:00;Málaga;1–0;Athletic Club;24,500;Estadio La Rosaleda;Antonio Matéu Lahoz;Match Report;
1;Sat;23.08.14;21:00;Granada;2–1;La Coruña;14,800;Estadio Nuevo Los Cármenes;Iñaki Bikandi;Match Report;
1;Sat;23.08.14;21:00;Sevilla;1–1;Valencia;29,352;Estadio Ramón Sánchez Pizjuán;Carlos del Cerro;Match Report;
1;Sat;23.08.14;23:00;Almería;1–1;Espanyol;12,000;Estadio de los Juegos Mediterráneos;Alejandro Hernández;Match Report;
1;Sun;24.08.14;19:00;Eibar;1–0;Real Sociedad;5,173;Estadio Municipal de Ipurúa;Alfonso Álvarez;Match Report;
1;Sun;24.08.14;21:00;Celta Vigo;3–1;Getafe;20,416;Estadio de Balaídos;Mario Melero;Match Report;
1;Sun;24.08.14;21:00;Barcelona;3–0;Elche;68,105;Camp Nou;Fernando Teixeira;Match Report;
1;Sun;24.08.14;23:00;Levante;0–2;Villarreal;19,000;Estadio Ciudad de Valencia;David Fernández;Match Report;
1;Mon;25.08.14;20:00;Real Madrid;2–0;Córdoba;70,356;Estadio Santiago Bernabéu;Jesús Gil;Match Report;
1;Mon;25.08.14;22:00;Rayo Vallecano;0–0;Atlético Madrid;11,070;Estadio del Rayo Vallecano;Carlos Clos Gómez;Match Report;
;;;;;;;;;;;
2;Fri;29.08.14;20:00;Getafe;1–0;Almería;6,000;Coliseum Alfonso Pérez;Santiago Jaime;Match Report;
2;Fri;29.08.14;22:00;Valencia;3–0;Málaga;41,550;Estadio de Mestalla;Javier Estrada;Match Report;
2;Sat;30.08.14;19:00;Córdoba;1–1;Celta Vigo;15,982;Estadio Nuevo Arcángel;José Teixeira;Match Report;
2;Sat;30.08.14;19:00;Athletic Club;3–0;Levante;48,300;San Mamés;Pedro Pérez;Match Report;
2;Sat;30.08.14;21:00;Atlético Madrid;2–1;Eibar;48,000;Estadio Vicente Calderón;Eduardo Prieto;Match Report;
2;Sat;30.08.14;23:00;Espanyol;1–2;Sevilla;16,490;RCDE Stadium;Alberto Undiano;Match Report;
