Wk;Day;Date;Time;Home;xG;Score;xG;Away;Attendance;Venue;Referee;Match Report;Notes
5;Sun;27.09.20;15:00;Monaco;1.5;3–2;1.4;Strasbourg;;Stade Louis II.;Jérémie Pignard;Match Report;
5;Sun;27.09.20;15:00;Dijon;1.5;2–2;2.4;Montpellier;;Stade Gaston Gérard;Aurélien Petit;Match Report;
5;Sun;27.09.20;17:00;Lorient;0.2;1–1;0.8;Lyon;;Stade Yves Allainmat - Le Moustoir;Clément Turpin;Match Report;
5;Sun;27.09.20;21:00;Reims;0.2;0–2;4.4;Paris S-G;;Stade Auguste-Delaune II;Ruddy Buquet;Match Report;
;;;;;;;;;;;;;
6;Fri;02.10.20;21:00;Paris S-G;2.1;6–1;0.9;Angers;;Parc des Princes;Franck Schneider;Match Report;
6;Sat;03.10.20;17:00;Lens;1.9;2–0;0.1;Saint-Étienne;;Stade Bollaert-Delelis;Bastien Dechepy;Match Report;
6;Sat;03.10.20;21:00;Nice;2.1;2–1;1.3;Nantes;;Stade de Nice;Jérôme Brisard;Match Report;
6;Sun;04.10.20;13:00;Montpellier;0.7;0–1;0.5;Nîmes;;Stade de la Mosson;Benoît Millot;Match Report;
6;Sun;04.10.20;15:00;Strasbourg;1.7;0–3;1.9;Lille;;Stade de la Meinau;Mikael Lesage;Match Report;
6;Sun;04.10.20;15:00;Bordeaux;1.5;3–0;0.3;Dijon;;Stade Matmut-Atlantique;Antony Gautier;Match Report;
6;Sun;04.10.20;15:00;Brest;1;1–0;1.1;Monaco;;Stade Francis-Le Blé;Johan Hamel;Match Report;
6;Sun;04.10.20;15:00;Metz;1.7;3–1;0.8;Lorient;;Stade Saint-Symphorien;Jérôme Miguelgorry;Match Report;
6;Sun;04.10.20;17:00;Rennes;2;2–2;1.2;Reims;;Roazhon Park;Florent Batta;Match Report;
6;Sun;04.10.20;21:00;Lyon;3.2;1–1;0.2;Marseille;;Groupama Stadium;Stéphanie Frappart;Match Report;
;;;;;;;;;;;;;
7;Fri;16.10.20;19:00;Dijon;0.9;1–1;1;Rennes;;Stade Gaston Gérard;Bastien Dechepy;Match Report;
7;Fri;16.10.20;21:00;Nîmes;0.1;0–4;4.3;Paris S-G;;Stade des Costières;Clément Turpin;Match Report;
7;Sat;17.10.20;17:00;Reims;0.4;1–3;2.6;Lorient;;Stade Auguste-Delaune II;Mikael Lesage;Match Report;
7;Sat;17.10.20;21:00;Marseille;1;3–1;0.6;Bordeaux;;Orange Vélodrome;Franck Schneider;Match Report;
7;Sun;18.10.20;13:00;Strasbourg;2.1;2–3;3.9;Lyon;;Stade de la Meinau;Ruddy Buquet;Match Report;
7;Sun;18.10.20;15:00;Monaco;2.1;1–1;0.2;Montpellier;;Stade Louis II.;Hakim Ben El Hadj Salem;Match Report;
7;Sun;18.10.20;15:00;Nantes;1.8;3–1;1.1;Brest;;Stade de la Beaujoire - Louis Fonteneau;Jérémie Pignard;Match Report;
7;Sun;18.10.20;15:00;Angers;1.1;1–1;1.2;Metz;;Stade Raymond Kopa;Aurélien Petit;Match Report;
7;Sun;18.10.20;17:00;Saint-Étienne;0.8;1–3;2.3;Nice;;Stade Geoffroy-Guichard;Amaury Delerue;Match Report;
7;Sun;18.10.20;21:00;Lille;2.6;4–0;0.4;Lens;;Stade Pierre-Mauroy;François Letexier;Match Report;
;;;;;;;;;;;;;
8;Fri;23.10.20;21:00;Rennes;1;1–2;1.4;Angers;;Roazhon Park;Jérémie Pignard;Match Report;
8;Sat;24.10.20;17:00;Lorient;0.5;0–1;1.3;Marseille;;Stade Yves Allainmat - Le Moustoir;Benoît Bastien;Match Report;
8;Sat;24.10.20;21:00;Paris S-G;4.6;4–0;1.7;Dijon;;Parc des Princes;Johan Hamel;Match Report;
8;Sun;25.10.20;15:00;Bordeaux;2.3;2–0;0.9;Nîmes;;Stade Matmut-Atlantique;Bastien Dechepy;Match Report;
8;Sun;25.10.20;15:00;Montpellier;0.2;0–4;4;Reims;;Stade de la Mosson;Willy Delajod;Match Report;
8;Sun;25.10.20;15:00;Brest;0.9;0–3;1.1;Strasbourg;;Stade Francis-Le Blé;Jérôme Miguelgorry;Match Report;
8;Sun;25.10.20;15:00;Metz;0.3;2–0;0.4;Saint-Étienne;5,000;Stade Saint-Symphorien;Karim Abed;Match Report;
8;Sun;25.10.20;17:00;Nice;1;1–1;0.5;Lille;;Stade de Nice;Franck Schneider;Match Report;
8;Sun;25.10.20;21:00;Lyon;3.2;4–1;1.9;Monaco;;Groupama Stadium;Jérôme Brisard;Match Report;
;;;;;;;;;;;;;
9;Sat;31.10.20;17:00;Rennes;1.5;2–1;0.7;Brest;;Roazhon Park;Stéphanie Frappart;Match Report;
9;Sat;31.10.20;21:00;Nantes;1.7;0–3;2.1;Paris S-G;;Stade de la Beaujoire - Louis Fonteneau;Hakim Ben El Hadj Salem;Match Report;
9;Sun;01.11.20;13:00;Saint-Étienne;0.7;0–1;0.6;Montpellier;;Stade Geoffroy-Guichard;Jérôme Miguelgorry;Match Report;
9;Sun;01.11.20;15:00;Reims;0.7;2–1;1.9;Strasbourg;;Stade Auguste-Delaune II;Eric Wattellier;Match Report;
9;Sun;01.11.20;15:00;Nîmes;1.1;0–1;1.5;Metz;;Stade des Costières;Amaury Delerue;Match Report;
9;Sun;01.11.20;15:00;Dijon;0.4;0–0;1.1;Lorient;;Stade Gaston Gérard;Aurélien Petit;Match Report;
9;Sun;01.11.20;15:00;Angers;0.4;0–3;2.3;Nice;;Stade Raymond Kopa;Jeremy Stinat;Match Report;
9;Sun;01.11.20;17:00;Monaco;3;4–0;0.3;Bordeaux;;Stade Louis II.;Ruddy Buquet;Match Report;
9;Sun;01.11.20;21:00;Lille;0.5;1–1;0.8;Lyon;;Stade Pierre-Mauroy;Mikael Lesage;Match Report;
;;;;;;;;;;;;;
10;Fri;06.11.20;21:00;Strasbourg;0.3;0–1;0.1;Marseille;;Stade de la Meinau;Johan Hamel;Match Report;
10;Sat;07.11.20;17:00;Bordeaux;0.6;0–2;1.5;Montpellier;;Stade Matmut-Atlantique;Antony Gautier;Match Report;
10;Sat;07.11.20;21:00;Paris S-G;0.9;3–0;1.1;Rennes;;Parc des Princes;Benoît Bastien;Match Report;
10;Sun;08.11.20;13:00;Brest;1.2;3–2;2.4;Lille;;Stade Francis-Le Blé;Florent Batta;Match Report;
10;Sun;08.11.20;15:00;Nîmes;1.5;1–5;3.2;Angers;;Stade des Costières;Franck Schneider;Match Report;
10;Sun;08.11.20;15:00;Lens;1.5;4–4;1.4;Reims;;Stade Bollaert-Delelis;Thomas Léonard;Match Report;
10;Sun;08.11.20;15:00;Lorient;1.8;0–2;1.7;Nantes;;Stade Yves Allainmat - Le Moustoir;Stéphanie Frappart;Match Report;
10;Sun;08.11.20;15:00;Metz;2.1;1–1;2.3;Dijon;;Stade Saint-Symphorien;Willy Delajod;Match Report;
10;Sun;08.11.20;17:00;Nice;0.7;1–2;1.5;Monaco;;Stade de Nice;Karim Abed;Match Report;
10;Sun;08.11.20;21:00;Lyon;2.5;2–1;1.7;Saint-Étienne;;Groupama Stadium;François Letexier;Match Report;
;;;;;;;;;;;;;
11;Fri;20.11.20;19:00;Rennes;1.9;0–1;0.7;Bordeaux;;Roazhon Park;Karim Abed;Match Report;
11;Fri;20.11.20;21:00;Monaco;3.2;3–2;1.7;Paris S-G;;Stade Louis II.;Clément Turpin;Match Report;
11;Sat;21.11.20;17:00;Brest;0.9;4–1;1.3;Saint-Étienne;;Stade Francis-Le Blé;Thomas Léonard;Match Report;
11;Sun;22.11.20;13:00;Nantes;1.2;1–1;1.6;Metz;;Stade de la Beaujoire - Louis Fonteneau;Benoît Millot;Match Report;
11;Sun;22.11.20;15:00;Montpellier;1.7;4–3;3.4;Strasbourg;;Stade de la Mosson;Jérôme Brisard;Match Report;
11;Sun;22.11.20;15:00;Dijon;0.6;0–1;1.5;Lens;;Stade Gaston Gérard;Eric Wattellier;Match Report;
11;Sun;22.11.20;15:00;Reims;1;0–1;1.1;Nîmes;;Stade Auguste-Delaune II;Jeremy Stinat;Match Report;
11;Sun;22.11.20;17:00;Angers;0.9;0–1;1;Lyon;;Stade Raymond Kopa;Amaury Delerue;Match Report;
11;Sun;22.11.20;21:00;Lille;4.2;4–0;0.7;Lorient;;Stade Pierre-Mauroy;Willy Delajod;Match Report;
;;;;;;;;;;;;;
8;Wed;25.11.20;19:00;Lens;0.7;1–1;2;Nantes;;Stade Bollaert-Delelis;Florent Batta;Match Report;
;;;;;;;;;;;;;
