Wk;Day;Date;Time;Home;Score;Away;Attendance;Venue;Referee;Match Report;Notes
1;Sat;25.08.12;;Juventus;2–0;Parma;;;Andrea Romeo;Match Report;
1;Sat;25.08.12;;Fiorentina;2–1;Udinese;;;Paolo Mazzoleni;Match Report;
1;Sun;26.08.12;;Palermo;0–3;Napoli;;;Daniele Orsato;Match Report;
1;Sun;26.08.12;;Genoa;2–0;Cagliari;;;Nicola Rizzoli;Match Report;
1;Sun;26.08.12;;Pescara;0–3;Inter;;;Marco Guida;Match Report;
1;Sun;26.08.12;;Milan;0–1;Sampdoria;;;Luca Banti;Match Report;
1;Sun;26.08.12;;Atalanta;0–1;Lazio;;;Andrea Gervasoni;Match Report;
1;Sun;26.08.12;;Roma;2–2;Catania;;;Andrea De Marco;Match Report;
1;Sun;26.08.12;;Siena;0–0;Torino;;;Piero Giacomelli;Match Report;
1;Sun;26.08.12;;Chievo;2–0;Bologna;;;Gianpaolo Calvarese;Match Report;
;;;;;;;;;;;
2;Sat;01.09.12;;Bologna;1–3;Milan;;;Paolo Tagliavento;Match Report;
2;Sat;01.09.12;;Torino;3–0;Pescara;;;Carmine Russo;Match Report;
2;Sun;02.09.12;;Parma;2–0;Chievo;;;Davide Massa;Match Report;
2;Sun;02.09.12;;Napoli;2–1;Fiorentina;;;Antonio Damato;Match Report;
2;Sun;02.09.12;;Udinese;1–4;Juventus;;;Paolo Valeri;Match Report;
2;Sun;02.09.12;;Inter;1–3;Roma;;;Mauro Bergonzi;Match Report;
2;Sun;02.09.12;;Cagliari;1–1;Atalanta;;;Sebastiano Peruzzo;Match Report;
2;Sun;02.09.12;;Lazio;3–0;Palermo;;;Domenico Celi;Match Report;
2;Sun;02.09.12;;Sampdoria;2–1;Siena;;;Gianluca Rocchi;Match Report;
2;Sun;02.09.12;;Catania;3–2;Genoa;;;Antonio Giannoccaro;Match Report;
;;;;;;;;;;;
3;Sat;15.09.12;;Milan;0–1;Atalanta;;;Daniele Orsato;Match Report;
3;Sat;15.09.12;;Palermo;1–1;Cagliari;;;Paolo Mazzoleni;Match Report;
3;Sun;16.09.12;;Napoli;3–1;Parma;;;Andrea Gervasoni;Match Report;
3;Sun;16.09.12;;Roma;2–3;Bologna;;;Marco Guida;Match Report;
3;Sun;16.09.12;;Pescara;2–3;Sampdoria;;;Riccardo Pinzani;Match Report;
3;Sun;16.09.12;;Torino;0–2;Inter;;;Luca Banti;Match Report;
3;Sun;16.09.12;;Genoa;1–3;Juventus;;;Gianluca Rocchi;Match Report;
3;Sun;16.09.12;;Chievo;1–3;Lazio;;;Nicola Rizzoli;Match Report;
3;Sun;16.09.12;;Fiorentina;2–0;Catania;;;Daniele Doveri;Match Report;
3;Sun;16.09.12;;Siena;2–2;Udinese;;;Andrea De Marco;Match Report;
;;;;;;;;;;;
4;Sat;22.09.12;;Juventus;2–0;Chievo;;;Carmine Russo;Match Report;
4;Sat;22.09.12;;Parma;1–1;Fiorentina;;;Paolo Valeri;Match Report;
4;Sun;23.09.12;;Atalanta;1–0;Palermo;;;Piero Giacomelli;Match Report;
4;Sun;23.09.12;;Udinese;2–1;Milan;;;Domenico Celi;Match Report;
4;Sun;23.09.12;;Inter;0–2;Siena;;;Davide Massa;Match Report;
4;Sun;23.09.12;;Cagliari;0–3;Roma;;;;Match Report;Match awarded to Roma
4;Sun;23.09.12;;Sampdoria;1–1;Torino;;;Gianpaolo Calvarese;Match Report;
4;Sun;23.09.12;;Lazio;0–1;Genoa;;;Antonio Damato;Match Report;
4;Sun;23.09.12;;Bologna;1–1;Pescara;;;Andrea Romeo;Match Report;
4;Sun;23.09.12;;Catania;0–0;Napoli;;;Mauro Bergonzi;Match Report;
;;;;;;;;;;;
5;Tue;25.09.12;;Fiorentina;0–0;Juventus;;;Paolo Tagliavento;Match Report;
5;Wed;26.09.12;;Catania;2–1;Atalanta;;;Massimiliano Irrati;Match Report;
5;Wed;26.09.12;;Roma;1–1;Sampdoria;;;Paolo Mazzoleni;Match Report;
5;Wed;26.09.12;;Torino;0–0;Udinese;;;Daniele Orsato;Match Report;
5;Wed;26.09.12;;Milan;2–0;Cagliari;;;Andrea De Marco;Match Report;
5;Wed;26.09.12;;Pescara;1–0;Palermo;;;Daniele Doveri;Match Report;
5;Wed;26.09.12;;Napoli;3–0;Lazio;;;Luca Banti;Match Report;
5;Wed;26.09.12;;Chievo;0–2;Inter;;;Sebastiano Peruzzo;Match Report;
5;Wed;26.09.12;;Genoa;1–1;Parma;;;Marco Guida;Match Report;
5;Thu;27.09.12;;Siena;1–0;Bologna;;;Andrea Gervasoni;Match Report;
;;;;;;;;;;;
6;Sat;29.09.12;;Juventus;4–1;Roma;;;Nicola Rizzoli;Match Report;
6;Sat;29.09.12;;Parma;1–1;Milan;;;Gianluca Rocchi;Match Report;
6;Sun;30.09.12;;Palermo;4–1;Chievo;;;Mauro Bergonzi;Match Report;
6;Sun;30.09.12;;Inter;2–1;Fiorentina;;;Antonio Giannoccaro;Match Report;
6;Sun;30.09.12;;Lazio;2–1;Siena;;;Carmine Russo;Match Report;
6;Sun;30.09.12;;Udinese;0–0;Genoa;;;Andrea Romeo;Match Report;
6;Sun;30.09.12;;Bologna;4–0;Catania;;;Piero Giacomelli;Match Report;
6;Sun;30.09.12;;Sampdoria;0–1;Napoli;;;Paolo Tagliavento;Match Report;
6;Sun;30.09.12;;Cagliari;1–2;Pescara;;;Antonio Damato;Match Report;
6;Sun;30.09.12;;Atalanta;1–5;Torino;;;Davide Massa;Match Report;
;;;;;;;;;;;
7;Sat;06.10.12;;Chievo;2–1;Sampdoria;;;Andrea Gervasoni;Match Report;
7;Sat;06.10.12;;Genoa;1–1;Palermo;;;Dino Tommasi;Match Report;
7;Sun;07.10.12;;Torino;0–1;Cagliari;;;Domenico Celi;Match Report;
7;Sun;07.10.12;;Napoli;2–1;Udinese;;;Daniele Doveri;Match Report;
7;Sun;07.10.12;;Siena;1–2;Juventus;;;Paolo Mazzoleni;Match Report;
7;Sun;07.10.12;;Fiorentina;1–0;Bologna;;;Daniele Orsato;Match Report;
7;Sun;07.10.12;;Pescara;0–3;Lazio;;;Andrea De Marco;Match Report;
7;Sun;07.10.12;;Catania;2–0;Parma;;;Gianpaolo Calvarese;Match Report;
7;Sun;07.10.12;;Milan;0–1;Inter;;;Paolo Valeri;Match Report;
7;Sun;07.10.12;;Roma;2–0;Atalanta;;;Luca Banti;Match Report;
;;;;;;;;;;;
8;Sat;20.10.12;;Juventus;2–0;Napoli;;;Antonio Damato;Match Report;
8;Sat;20.10.12;;Lazio;3–2;Milan;;;Paolo Tagliavento;Match Report;
8;Sun;21.10.12;;Chievo;1–1;Fiorentina;;;Marco Guida;Match Report;
8;Sun;21.10.12;;Parma;2–1;Sampdoria;;;Sebastiano Peruzzo;Match Report;
8;Sun;21.10.12;;Atalanta;2–1;Siena;;;Nicola Rizzoli;Match Report;
8;Sun;21.10.12;;Inter;2–0;Catania;;;Carmine Russo;Match Report;
8;Sun;21.10.12;;Genoa;2–4;Roma;;;Daniele Orsato;Match Report;
8;Sun;21.10.12;;Udinese;1–0;Pescara;;;Antonio Giannoccaro;Match Report;
8;Sun;21.10.12;;Cagliari;1–0;Bologna;;;Daniele Doveri;Match Report;
8;Sun;21.10.12;;Palermo;0–0;Torino;;;Andrea Romeo;Match Report;
;;;;;;;;;;;
9;Sat;27.10.12;;Milan;1–0;Genoa;;;Paolo Mazzoleni;Match Report;
9;Sat;27.10.12;;Siena;0–0;Palermo;;;Gianpaolo Calvarese;Match Report;
9;Sun;28.10.12;;Sampdoria;0–1;Cagliari;;;Gianluca Rocchi;Match Report;
9;Sun;28.10.12;;Torino;1–3;Parma;;;Piero Giacomelli;Match Report;
9;Sun;28.10.12;;Fiorentina;2–0;Lazio;;;Mauro Bergonzi;Match Report;
9;Sun;28.10.12;;Roma;2–3;Udinese;;;Davide Massa;Match Report;
9;Sun;28.10.12;;Pescara;0–0;Atalanta;;;Paolo Valeri;Match Report;
9;Sun;28.10.12;;Napoli;1–0;Chievo;;;Domenico Celi;Match Report;
9;Sun;28.10.12;;Bologna;1–3;Inter;;;Andrea De Marco;Match Report;
9;Sun;28.10.12;;Catania;0–1;Juventus;;;Andrea Gervasoni;Match Report;
;;;;;;;;;;;
