Wk;Day;Date;Time;Home;Score;Away;Attendance;Venue;Referee;Match Report;Notes
1;Sat;18.08.12;;Celta Vigo;0–1;Málaga;;Balaídos;Del Cerro Grande;Match Report;
1;Sat;18.08.12;;Sevilla;2–1;Getafe;;Ramón Sánchez Pizjuán;Álvarez Izquierdo;Match Report;
1;Sat;18.08.12;;Mallorca;2–1;Espanyol;;Son Moix;Undiano Mallenco;Match Report;
1;Sun;19.08.12;;Real Madrid;1–1;Valencia;;Santiago Bernabéu;Delgado Ferreiro;Match Report;
1;Sun;19.08.12;;Athletic Club;3–5;Betis;;San Mamés;Teixeira Vitienes;Match Report;
1;Sun;19.08.12;;Barcelona;5–1;Real Sociedad;;Camp Nou;González González;Match Report;
1;Sun;19.08.12;;Levante;1–1;Atlético Madrid;;Ciutat de Valencia;Clos Gómez;Match Report;
1;Mon;20.08.12;;Zaragoza;0–1;Valladolid;;La Romareda;Hernández Hernández;Match Report;
1;Mon;20.08.12;;Rayo Vallecano;1–0;Granada;;Estadio de Vallecas Teresa Rivero;Mateu Lahoz;Match Report;
1;Mon;20.08.12;;La Coruña;2–0;Osasuna;;Riazor;Fernández Borbalán;Match Report;
;;;;;;;;;;;
2;Sat;25.08.12;;Málaga;1–1;Mallorca;;La Rosaleda;Gil Manzano;Match Report;
2;Sat;25.08.12;;Real Sociedad;2–1;Celta Vigo;;Anoeta;Pérez Montero;Match Report;
2;Sat;25.08.12;;Betis;1–2;Rayo Vallecano;;Benito Villamarín;Ayza Gámez;Match Report;
2;Sat;25.08.12;;Espanyol;1–2;Zaragoza;;Cornellá - El Prat;Paradas Romero;Match Report;
2;Sun;26.08.12;;Granada;1–1;Sevilla;;Nuevo Los Cármenes;Estrada Fernández;Match Report;
2;Sun;26.08.12;;Osasuna;1–2;Barcelona;;Reyno de Navarra;Muñiz Fernández;Match Report;
2;Sun;26.08.12;;Getafe;2–1;Real Madrid;;Coliseum Alfonso Pérez;Pérez Lasa;Match Report;
2;Sun;26.08.12;;Valencia;3–3;La Coruña;;Mestalla;Velasco Carballo;Match Report;
2;Mon;27.08.12;;Atlético Madrid;4–0;Athletic Club;;Vicente Calderón;Teixeira Vitienes;Match Report;
2;Mon;27.08.12;;Valladolid;2–0;Levante;;José Zorrilla;Iglesias Villanueva;Match Report;
;;;;;;;;;;;
3;Sat;01.09.12;;Zaragoza;0–1;Málaga;;La Romareda;Undiano Mallenco;Match Report;
3;Sat;01.09.12;;Mallorca;1–0;Real Sociedad;;Son Moix;Fernández Borbalán;Match Report;
3;Sat;01.09.12;;La Coruña;1–1;Getafe;;Riazor;Mateu Lahoz;Match Report;
3;Sat;01.09.12;;Celta Vigo;2–0;Osasuna;;Balaídos;Hernández Hernández;Match Report;
3;Sun;02.09.12;;Real Madrid;3–0;Granada;;Santiago Bernabéu;González González;Match Report;
3;Sun;02.09.12;;Rayo Vallecano;0–0;Sevilla;;Estadio de Vallecas Teresa Rivero;Clos Gómez;Match Report;
3;Sun;02.09.12;;Levante;3–2;Espanyol;;Ciutat de Valencia;Teixeira Vitienes;Match Report;
3;Sun;02.09.12;;Athletic Club;2–0;Valladolid;;San Mamés;Del Cerro Grande;Match Report;
3;Sun;02.09.12;;Barcelona;1–0;Valencia;;Camp Nou;Pérez Lasa;Match Report;
;;;;;;;;;;;
4;Sat;15.09.12;;Valencia;2–1;Celta Vigo;;Mestalla;Paradas Romero;Match Report;
4;Sat;15.09.12;;Málaga;3–1;Levante;;La Rosaleda;Velasco Carballo;Match Report;
4;Sat;15.09.12;;Getafe;1–4;Barcelona;;Coliseum Alfonso Pérez;Teixeira Vitienes;Match Report;
4;Sat;15.09.12;;Sevilla;1–0;Real Madrid;;Ramón Sánchez Pizjuán;Undiano Mallenco;Match Report;
4;Sun;16.09.12;;Atlético Madrid;4–3;Rayo Vallecano;;Vicente Calderón;Estrada Fernández;Match Report;
4;Sun;16.09.12;;Granada;1–1;La Coruña;;Nuevo Los Cármenes;Gil Manzano;Match Report;
4;Sun;16.09.12;;Osasuna;1–1;Mallorca;;Reyno de Navarra;Ayza Gámez;Match Report;
4;Sun;16.09.12;;Espanyol;3–3;Athletic Club;;Cornellá - El Prat;Pérez Montero;Match Report;
4;Sun;16.09.12;;Real Sociedad;2–0;Zaragoza;;Anoeta;Iglesias Villanueva;Match Report;
4;Mon;17.09.12;;Valladolid;0–1;Betis;;José Zorrilla;Delgado Ferreiro;Match Report;
;;;;;;;;;;;
5;Sat;22.09.12;;Celta Vigo;2–1;Getafe;;Balaídos;Teixeira Vitienes;Match Report;
5;Sat;22.09.12;;Zaragoza;3–1;Osasuna;;La Romareda;Pérez Lasa;Match Report;
5;Sat;22.09.12;;Barcelona;2–0;Granada;;Camp Nou;Del Cerro Grande;Match Report;
5;Sat;22.09.12;;Betis;1–0;Espanyol;;Benito Villamarín;Clos Gómez;Match Report;
5;Sun;23.09.12;;Levante;2–1;Real Sociedad;;Ciutat de Valencia;Hernández Hernández;Match Report;
5;Sun;23.09.12;;Mallorca;2–0;Valencia;;Son Moix;Álvarez Izquierdo;Match Report;
5;Sun;23.09.12;;Athletic Club;0–0;Málaga;;San Mamés;Mateu Lahoz;Match Report;
5;Sun;23.09.12;;Atlético Madrid;2–1;Valladolid;;Vicente Calderón;Muñiz Fernández;Match Report;
5;Mon;24.09.12;;La Coruña;0–2;Sevilla;;Riazor;González González;Match Report;
5;Mon;24.09.12;;Rayo Vallecano;0–2;Real Madrid;;Estadio de Vallecas Teresa Rivero;Fernández Borbalán;Match Report;
;;;;;;;;;;;
3;Wed;26.09.12;;Betis;2–4;Atlético Madrid;;Benito Villamarín;Álvarez Izquierdo;Match Report;
;;;;;;;;;;;
6;Sat;29.09.12;;Sevilla;2–3;Barcelona;;Ramón Sánchez Pizjuán;Mateu Lahoz;Match Report;
6;Sat;29.09.12;;Málaga;4–0;Betis;;La Rosaleda;Estrada Fernández;Match Report;
6;Sat;29.09.12;;Real Sociedad;2–0;Athletic Club;;Anoeta;Clos Gómez;Match Report;
6;Sat;29.09.12;;Valencia;2–0;Zaragoza;;Mestalla;Pérez Montero;Match Report;
6;Sun;30.09.12;;Granada;2–1;Celta Vigo;;Nuevo Los Cármenes;Velasco Carballo;Match Report;
6;Sun;30.09.12;;Valladolid;6–1;Rayo Vallecano;;José Zorrilla;Gil Manzano;Match Report;
6;Sun;30.09.12;;Osasuna;4–0;Levante;;Reyno de Navarra;Álvarez Izquierdo;Match Report;
6;Sun;30.09.12;;Espanyol;0–1;Atlético Madrid;;Cornellá - El Prat;Iglesias Villanueva;Match Report;
6;Sun;30.09.12;;Real Madrid;5–1;La Coruña;;Santiago Bernabéu;Ayza Gámez;Match Report;
6;Mon;01.10.12;;Getafe;1–0;Mallorca;;Coliseum Alfonso Pérez;Paradas Romero;Match Report;
;;;;;;;;;;;
7;Fri;05.10.12;;Celta Vigo;2–0;Sevilla;;Balaídos;Gil Manzano;Match Report;
7;Sat;06.10.12;;Betis;2–0;Real Sociedad;;Benito Villamarín;Teixeira Vitienes;Match Report;
7;Sat;06.10.12;;Zaragoza;0–1;Getafe;;La Romareda;Muñiz Fernández;Match Report;
7;Sat;06.10.12;;Rayo Vallecano;2–1;La Coruña;;Estadio de Vallecas Teresa Rivero;Pérez Montero;Match Report;
7;Sat;06.10.12;;Valladolid;1–1;Espanyol;;José Zorrilla;Fernández Borbalán;Match Report;
7;Sun;07.10.12;;Atlético Madrid;2–1;Málaga;;Vicente Calderón;Pérez Lasa;Match Report;
7;Sun;07.10.12;;Mallorca;1–2;Granada;;Son Moix;Hernández Hernández;Match Report;
7;Sun;07.10.12;;Barcelona;2–2;Real Madrid;;Camp Nou;Delgado Ferreiro;Match Report;
7;Sun;07.10.12;;Levante;1–0;Valencia;;Ciutat de Valencia;Del Cerro Grande;Match Report;
7;Sun;07.10.12;;Athletic Club;1–0;Osasuna;;San Mamés;González González;Match Report;
;;;;;;;;;;;
8;Sat;20.10.12;;Real Madrid;2–0;Celta Vigo;;Santiago Bernabéu;Clos Gómez;Match Report;
8;Sat;20.10.12;;Valencia;3–2;Athletic Club;;Mestalla;Undiano Mallenco;Match Report;
8;Sat;20.10.12;;Málaga;2–1;Valladolid;;La Rosaleda;Iglesias Villanueva;Match Report;
8;Sat;20.10.12;;La Coruña;4–5;Barcelona;;Riazor;Paradas Romero;Match Report;
8;Sun;21.10.12;;Getafe;0–1;Levante;;Coliseum Alfonso Pérez;Pérez Montero;Match Report;
8;Sun;21.10.12;;Osasuna;0–0;Betis;;Reyno de Navarra;Velasco Carballo;Match Report;
8;Sun;21.10.12;;Espanyol;3–2;Rayo Vallecano;;Cornellá - El Prat;Teixeira Vitienes;Match Report;
8;Sun;21.10.12;;Granada;1–2;Zaragoza;;Nuevo Los Cármenes;Teixeira Vitienes;Match Report;
8;Sun;21.10.12;;Real Sociedad;0–1;Atlético Madrid;;Anoeta;Ayza Gámez;Match Report;
8;Mon;22.10.12;;Sevilla;3–2;Mallorca;;Ramón Sánchez Pizjuán;Estrada Fernández;Match Report;
;;;;;;;;;;;
9;Sat;27.10.12;;Betis;1–0;Valencia;;Benito Villamarín;Hernández Hernández;Match Report;
9;Sat;27.10.12;;Rayo Vallecano;0–5;Barcelona;;Estadio de Vallecas Teresa Rivero;Pérez Lasa;Match Report;
9;Sat;27.10.12;;Celta Vigo;1–1;La Coruña;;Balaídos;Undiano Mallenco;Match Report;
