Wk;Day;Date;Time;Home;Score;Away;Attendance;Venue;Referee;Match Report;Notes
5;Wed;23.09.15;20:45;Chievo;1–0;Torino;10,000;Stadio Marc'Antonio Bentegodi;Domenico Celi;Match Report;
5;Thu;24.09.15;20:45;Empoli;0–1;Atalanta;7,625;Stadio Carlo Castellani;Claudio Gavillucci;Match Report;
;;;;;;;;;;;
6;Sat;26.09.15;18:00;Roma;5–1;Carpi;56,901;Stadio Olimpico;Massimiliano Irrati;Match Report;
6;Sat;26.09.15;20:45;Napoli;2–1;Juventus;40,311;Stadio San Paolo;Daniele Orsato;Match Report;
6;Sun;27.09.15;12:30;Genoa;1–0;Milan;21,294;Stadio Comunale Luigi Ferraris;Paolo Tagliavento;Match Report;
6;Sun;27.09.15;15:00;Bologna;1–2;Udinese;15,576;Stadio Renato Dall'Ara;Andrea Gervasoni;Match Report;
6;Sun;27.09.15;15:00;Torino;2–1;Palermo;17,640;Stadio Olimpico di Torino;Maurizio Mariani;Match Report;
6;Sun;27.09.15;15:00;Sassuolo;1–1;Chievo;6,220;Stadio Città del Tricolore;Michael Fabbri;Match Report;
6;Sun;27.09.15;15:00;Hellas Verona;1–2;Lazio;16,591;Stadio Marc'Antonio Bentegodi;Piero Giacomelli;Match Report;
6;Sun;27.09.15;20:45;Inter;1–4;Fiorentina;42,687;Stadio Giuseppe Meazza;Antonio Damato;Match Report;
6;Mon;28.09.15;19:00;Frosinone;2–0;Empoli;7,165;Stadio Comunale Matusa;Marco Guida;Match Report;
6;Mon;28.09.15;21:00;Atalanta;2–1;Sampdoria;15,756;Stadio Atleti Azzurri d'Italia;Paolo Valeri;Match Report;
;;;;;;;;;;;
7;Sat;03.10.15;18:00;Carpi;2–1;Torino;8,011;Stadio Sandro Cabassi;Carmine Russo;Match Report;
7;Sat;03.10.15;20:45;Chievo;1–1;Hellas Verona;15,000;Stadio Marc'Antonio Bentegodi;Daniele Doveri;Match Report;
7;Sun;04.10.15;12:30;Empoli;1–0;Sassuolo;7,634;Stadio Carlo Castellani;Giampaolo Calvarese;Match Report;
7;Sun;04.10.15;15:00;Palermo;2–4;Roma;25,933;Stadio Renzo Barbera;Antonio Damato;Match Report;
7;Sun;04.10.15;15:00;Udinese;1–1;Genoa;12,704;Dacia Arena;Angelo Cervellera;Match Report;
7;Sun;04.10.15;15:00;Sampdoria;1–1;Inter;24,329;Stadio Comunale Luigi Ferraris;Gianluca Rocchi;Match Report;
7;Sun;04.10.15;18:00;Lazio;2–0;Frosinone;27,806;Stadio Olimpico;Marco Di Bello;Match Report;
7;Sun;04.10.15;18:00;Juventus;3–1;Bologna;39,330;Allianz Stadium;Domenico Celi;Match Report;
7;Sun;04.10.15;20:45;Fiorentina;3–0;Atalanta;25,644;Stadio Artemio Franchi;Davide Massa;Match Report;
7;Sun;04.10.15;20:45;Milan;0–4;Napoli;50,488;Stadio Giuseppe Meazza;Nicola Rizzoli;Match Report;
;;;;;;;;;;;
8;Sat;17.10.15;18:00;Roma;3–1;Empoli;59,658;Stadio Olimpico;Piero Giacomelli;Match Report;
8;Sat;17.10.15;20:45;Torino;1–1;Milan;13,446;Stadio Olimpico di Torino;Andrea Gervasoni;Match Report;
8;Sun;18.10.15;12:30;Bologna;0–1;Palermo;16,010;Stadio Renato Dall'Ara;Michael Fabbri;Match Report;
8;Sun;18.10.15;15:00;Hellas Verona;1–1;Udinese;16,382;Stadio Marc'Antonio Bentegodi;Claudio Gavillucci;Match Report;
8;Sun;18.10.15;15:00;Frosinone;2–0;Sampdoria;7,252;Stadio Comunale Matusa;Massimiliano Irrati;Match Report;
8;Sun;18.10.15;15:00;Napoli;2–1;Fiorentina;49,800;Stadio San Paolo;Luca Banti;Match Report;
8;Sun;18.10.15;15:00;Genoa;3–2;Chievo;19,207;Stadio Comunale Luigi Ferraris;Paolo Mazzoleni;Match Report;
8;Sun;18.10.15;15:00;Atalanta;3–0;Carpi;14,479;Stadio Atleti Azzurri d'Italia;Fabrizio Pasqua;Match Report;
8;Sun;18.10.15;15:00;Sassuolo;2–1;Lazio;11,812;Stadio Città del Tricolore;Marco Guida;Match Report;
8;Sun;18.10.15;20:45;Inter;0–0;Juventus;79,154;Stadio Giuseppe Meazza;Paolo Valeri;Match Report;
;;;;;;;;;;;
9;Sat;24.10.15;15:00;Empoli;2–0;Genoa;8,770;Stadio Carlo Castellani;Domenico Celi;Match Report;
9;Sat;24.10.15;18:00;Carpi;1–2;Bologna;6,747;Stadio Sandro Cabassi;Paolo Tagliavento;Match Report;
9;Sat;24.10.15;20:45;Palermo;1–1;Inter;20,626;Stadio Renzo Barbera;Daniele Doveri;Match Report;
9;Sun;25.10.15;12:30;Sampdoria;4–1;Hellas Verona;21,082;Stadio Comunale Luigi Ferraris;Maurizio Mariani;Match Report;
9;Sun;25.10.15;15:00;Juventus;2–0;Atalanta;38,720;Allianz Stadium;Marco Di Bello;Match Report;
9;Sun;25.10.15;15:00;Udinese;1–0;Frosinone;13,298;Dacia Arena;Nicola Rizzoli;Match Report;
9;Sun;25.10.15;15:00;Milan;2–1;Sassuolo;37,568;Stadio Giuseppe Meazza;Gianluca Rocchi;Match Report;
9;Sun;25.10.15;18:00;Fiorentina;1–2;Roma;36,297;Stadio Artemio Franchi;Daniele Orsato;Match Report;
9;Sun;25.10.15;18:00;Lazio;3–0;Torino;22,131;Stadio Olimpico;Paolo Mazzoleni;Match Report;
9;Sun;25.10.15;20:45;Chievo;0–1;Napoli;12,000;Stadio Marc'Antonio Bentegodi;Davide Massa;Match Report;
;;;;;;;;;;;
10;Tue;27.10.15;20:45;Bologna;0–1;Inter;22,350;Stadio Renato Dall'Ara;Luca Banti;Match Report;
10;Wed;28.10.15;20:45;Atalanta;2–1;Lazio;14,519;Stadio Atleti Azzurri d'Italia;Massimiliano Irrati;Match Report;
10;Wed;28.10.15;20:45;Torino;3–3;Genoa;16,226;Stadio Olimpico di Torino;Daniele Chiffi;Match Report;
10;Wed;28.10.15;20:45;Sassuolo;1–0;Juventus;26,880;Stadio Città del Tricolore;Andrea Gervasoni;Match Report;
10;Wed;28.10.15;20:45;Roma;3–1;Udinese;29,599;Stadio Olimpico;Carmine Russo;Match Report;
10;Wed;28.10.15;20:45;Hellas Verona;0–2;Fiorentina;18,222;Stadio Marc'Antonio Bentegodi;Paolo Valeri;Match Report;
10;Wed;28.10.15;20:45;Milan;1–0;Chievo;25,523;Stadio Giuseppe Meazza;Giampaolo Calvarese;Match Report;
10;Wed;28.10.15;20:45;Napoli;2–0;Palermo;27,580;Stadio San Paolo;Piero Giacomelli;Match Report;
10;Wed;28.10.15;20:45;Frosinone;2–1;Carpi;6,444;Stadio Comunale Matusa;Antonio Damato;Match Report;
10;Thu;29.10.15;20:45;Sampdoria;1–1;Empoli;20,315;Stadio Comunale Luigi Ferraris;Angelo Cervellera;Match Report;
;;;;;;;;;;;
11;Sat;31.10.15;18:00;Juventus;2–1;Torino;39,828;Allianz Stadium;Gianluca Rocchi;Match Report;
11;Sat;31.10.15;20:45;Inter;1–0;Roma;59,213;Stadio Giuseppe Meazza;Nicola Rizzoli;Match Report;
11;Sun;01.11.15;12:30;Fiorentina;4–1;Frosinone;27,466;Stadio Artemio Franchi;Michael Fabbri;Match Report;
11;Sun;01.11.15;15:00;Genoa;0–0;Napoli;26,292;Stadio Comunale Luigi Ferraris;Daniele Doveri;Match Report;
11;Sun;01.11.15;15:00;Carpi;0–0;Hellas Verona;7,093;Stadio Sandro Cabassi;Paolo Mazzoleni;Match Report;
11;Sun;01.11.15;15:00;Bologna;3–0;Atalanta;15,748;Stadio Renato Dall'Ara;Marco Guida;Match Report;
11;Sun;01.11.15;15:00;Udinese;0–0;Sassuolo;13,277;Dacia Arena;Federico La Penna;Match Report;
11;Sun;01.11.15;20:45;Lazio;1–3;Milan;28,020;Stadio Olimpico;Antonio Damato;Match Report;
11;Mon;02.11.15;19:00;Chievo;1–1;Sampdoria;9,200;Stadio Marc'Antonio Bentegodi;Claudio Gavillucci;Match Report;
11;Mon;02.11.15;21:00;Palermo;0–1;Empoli;16,731;Stadio Renzo Barbera;Marco Di Bello;Match Report;
;;;;;;;;;;;
12;Sat;07.11.15;18:00;Hellas Verona;0–2;Bologna;18,007;Stadio Marc'Antonio Bentegodi;Daniele Orsato;Match Report;
12;Sat;07.11.15;20:45;Milan;0–0;Atalanta;33,192;Stadio Giuseppe Meazza;Piero Giacomelli;Match Report;
12;Sun;08.11.15;12:30;Torino;0–1;Inter;25,870;Stadio Olimpico di Torino;Massimiliano Irrati;Match Report;
12;Sun;08.11.15;15:00;Roma;2–0;Lazio;35,253;Stadio Olimpico;Paolo Tagliavento;Match Report;
12;Sun;08.11.15;15:00;Palermo;1–0;Chievo;14,176;Stadio Renzo Barbera;Maurizio Mariani;Match Report;
12;Sun;08.11.15;15:00;Sassuolo;1–0;Carpi;10,264;Stadio Città del Tricolore;Paolo Valeri;Match Report;
12;Sun;08.11.15;15:00;Empoli;1–3;Juventus;14,693;Stadio Carlo Castellani;Davide Massa;Match Report;
12;Sun;08.11.15;15:00;Frosinone;2–2;Genoa;6,450;Stadio Comunale Matusa;Giampaolo Calvarese;Match Report;
12;Sun;08.11.15;18:00;Napoli;1–0;Udinese;42,544;Stadio San Paolo;Domenico Celi;Match Report;
12;Sun;08.11.15;20:45;Sampdoria;0–2;Fiorentina;22,457;Stadio Comunale Luigi Ferraris;Carmine Russo;Match Report;
;;;;;;;;;;;
13;Sat;21.11.15;18:00;Bologna;2–2;Roma;23,304;Stadio Renato Dall'Ara;Gianluca Rocchi;Match Report;
13;Sat;21.11.15;20:45;Juventus;1–0;Milan;40,841;Allianz Stadium;Paolo Mazzoleni;Match Report;
13;Sun;22.11.15;12:30;Hellas Verona;0–2;Napoli;17,483;Stadio Marc'Antonio Bentegodi;Antonio Damato;Match Report;
13;Sun;22.11.15;15:00;Carpi;1–2;Chievo;7,033;Stadio Sandro Cabassi;Fabio Maresca;Match Report;
13;Sun;22.11.15;15:00;Fiorentina;2–2;Empoli;27,618;Stadio Artemio Franchi;Luca Banti;Match Report;
13;Sun;22.11.15;15:00;Udinese;1–0;Sampdoria;15,713;Dacia Arena;Marco Di Bello;Match Report;
13;Sun;22.11.15;15:00;Genoa;2–1;Sassuolo;19,347;Stadio Comunale Luigi Ferraris;Nicola Rizzoli;Match Report;
13;Sun;22.11.15;15:00;Atalanta;0–1;Torino;15,776;Stadio Atleti Azzurri d'Italia;Angelo Cervellera;Match Report;
13;Sun;22.11.15;15:00;Lazio;1–1;Palermo;17,175;Stadio Olimpico;Domenico Celi;Match Report;
13;Sun;22.11.15;20:45;Inter;4–0;Frosinone;37,469;Stadio Giuseppe Meazza;Marco Guida;Match Report;
;;;;;;;;;;;
14;Sat;28.11.15;18:00;Torino;2–0;Bologna;17,508;Stadio Olimpico di Torino;Davide Ghersini;Match Report;
14;Sat;28.11.15;20:45;Milan;4–1;Sampdoria;32,368;Stadio Giuseppe Meazza;Daniele Doveri;Match Report;
14;Sun;29.11.15;15:00;Roma;0–2;Atalanta;29,222;Stadio Olimpico;Giampaolo Calvarese;Match Report;
14;Sun;29.11.15;15:00;Frosinone;3–2;Hellas Verona;6,864;Stadio Comunale Matusa;Nicola Rizzoli;Match Report;
14;Sun;29.11.15;15:00;Chievo;2–3;Udinese;9,500;Stadio Marc'Antonio Bentegodi;Andrea Gervasoni;Match Report;
14;Sun;29.11.15;15:00;Genoa;1–2;Carpi;19,633;Stadio Comunale Luigi Ferraris;Claudio Gavillucci;Match Report;
14;Sun;29.11.15;18:00;Empoli;1–0;Lazio;9,362;Stadio Carlo Castellani;Michael Fabbri;Match Report;
14;Sun;29.11.15;20:45;Palermo;0–3;Juventus;25,737;Stadio Renzo Barbera;Paolo Valeri;Match Report;
14;Mon;30.11.15;19:00;Sassuolo;1–1;Fiorentina;13,633;Stadio Città del Tricolore;Davide Massa;Match Report;
14;Mon;30.11.15;21:00;Napoli;2–1;Inter;54,149;Stadio San Paolo;Daniele Orsato;Match Report;
;;;;;;;;;;;
15;Fri;04.12.15;20:45;Lazio;0–2;Juventus;27,740;Stadio Olimpico;Luca Banti;Match Report;
15;Sat;05.12.15;15:00;Torino;1–1;Roma;19,781;Stadio Olimpico di Torino;Antonio Damato;Match Report;
15;Sat;05.12.15;20:45;Inter;1–0;Genoa;39,485;Stadio Giuseppe Meazza;Piero Giacomelli;Match Report;
15;Sun;06.12.15;12:30;Bologna;3–2;Napoli;35,068;Stadio Renato Dall'Ara;Paolo Mazzoleni;Match Report;
15;Sun;06.12.15;15:00;Hellas Verona;0–1;Empoli;15,198;Stadio Marc'Antonio Bentegodi;Paolo Tagliavento;Match Report;
15;Sun;06.12.15;15:00;Atalanta;3–0;Palermo;14,499;Stadio Atleti Azzurri d'Italia;Carmine Russo;Match Report;
15;Sun;06.12.15;15:00;Fiorentina;3–0;Udinese;27,021;Stadio Artemio Franchi;Marco Guida;Match Report;
