Wk;Day;Date;Time;Home;Score;Away;Attendance;Venue;Referee;Match Report;Notes
1;Fri;05.08.11;;Dortmund;3–1;Hamburger SV;;;Felix Brych;Match Report;
1;Sat;06.08.11;;Werder Bremen;2–0;Kaiserslautern;;;Günter Perl;Match Report;
1;Sat;06.08.11;;Augsburg;2–2;Freiburg;;;Jochen Drees;Match Report;
1;Sat;06.08.11;;Stuttgart;3–0;Schalke 04;;;Wolfgang Stark;Match Report;
1;Sat;06.08.11;;Hannover 96;2–1;Hoffenheim;;;Thorsten Kinhöfer;Match Report;
1;Sat;06.08.11;;Köln;0–3;Wolfsburg;;;Manuel Gräfe;Match Report;
1;Sat;06.08.11;;Hertha BSC;0–1;Nürnberg;;;Peter Gagelmann;Match Report;
1;Sun;07.08.11;;Bayern Munich;0–1;M'Gladbach;;;Babak Rafati;Match Report;
1;Sun;07.08.11;;Mainz 05;2–0;Leverkusen;;;Michael Weiner;Match Report;
;;;;;;;;;;;
2;Sat;13.08.11;;Freiburg;1–2;Mainz 05;;;Thorsten Kinhöfer;Match Report;
2;Sat;13.08.11;;Schalke 04;5–1;Köln;;;Guido Winkmann;Match Report;
2;Sat;13.08.11;;Hamburger SV;2–2;Hertha BSC;;;Wolfgang Stark;Match Report;
2;Sat;13.08.11;;Nürnberg;1–2;Hannover 96;;;Marco Fritz;Match Report;
2;Sat;13.08.11;;Wolfsburg;0–1;Bayern Munich;;;Knut Kircher;Match Report;
2;Sat;13.08.11;;Hoffenheim;1–0;Dortmund;;;Deniz Aytekin;Match Report;
2;Sat;13.08.11;;M'Gladbach;1–1;Stuttgart;;;Manuel Gräfe;Match Report;
2;Sun;14.08.11;;Kaiserslautern;1–1;Augsburg;;;Tobias Welz;Match Report;
2;Sun;14.08.11;;Leverkusen;1–0;Werder Bremen;;;Felix Brych;Match Report;
;;;;;;;;;;;
3;Fri;19.08.11;;M'Gladbach;4–1;Wolfsburg;;;Markus Schmidt;Match Report;
3;Sat;20.08.11;;Werder Bremen;5–3;Freiburg;;;Peter Sippel;Match Report;
3;Sat;20.08.11;;Dortmund;2–0;Nürnberg;;;Felix Zwayer;Match Report;
3;Sat;20.08.11;;Köln;1–1;Kaiserslautern;;;Knut Kircher;Match Report;
