Wk;Day;Date;Time;Home;xG;Score;xG;Away;Attendance;Venue;Referee;Match Report;Notes
5;Sat;22.09.18;18:30;Getafe;0.8;0–2;1;Atlético Madrid;12,756;Coliseum Alfonso Pérez;José Sánchez;Match Report;
5;Sat;22.09.18;20:45;Real Madrid;1.2;1–0;0.7;Espanyol;67,658;Estadio Santiago Bernabéu;Antonio Matéu Lahoz;Match Report;
5;Sun;23.09.18;12:00;Levante;2.6;2–6;2.9;Sevilla;21,520;Estadio Ciudad de Valencia;Guillermo Cuadra;Match Report;
5;Sun;23.09.18;16:15;Villarreal;1;0–0;0.4;Valencia;18,373;Estadio de la Cerámica;Santiago Jaime;Match Report;
5;Sun;23.09.18;20:00;Betis;1.4;2–2;0.8;Athletic Club;51,093;Estadio Benito Villamarín;Javier Estrada;Match Report;
5;Sun;23.09.18;20:45;Barcelona;1.3;2–2;0.9;Girona;76,055;Camp Nou;Jesús Gil;Match Report;
;;;;;;;;;;;;;
6;Tue;25.09.18;20:00;Espanyol;1;1–0;0.3;Eibar;13,547;RCDE Stadium;José Luis Munuera;Match Report;
6;Tue;25.09.18;21:00;Real Sociedad;1.7;2–2;1.5;Rayo Vallecano;21,510;Estadio Municipal de Anoeta;Juan Martínez;Match Report;
6;Tue;25.09.18;22:00;Atlético Madrid;1.4;3–0;1.3;Huesca;47,023;Estadio Wanda Metropolitano;Pablo González;Match Report;
6;Wed;26.09.18;20:00;Leganés;1.1;2–1;0.6;Barcelona;12,231;Estadio Municipal de Butarque;Alberto Undiano;Match Report;
6;Wed;26.09.18;20:00;Athletic Club;0.9;0–3;2.7;Villarreal;39,672;Estadio San Mamés;Carlos del Cerro;Match Report;
6;Wed;26.09.18;22:00;Valencia;2.1;1–1;0.4;Celta Vigo;35,945;Estadio de Mestalla;Ricardo de Burgos;Match Report;
6;Wed;26.09.18;22:00;Sevilla;2.6;3–0;1.2;Real Madrid;40,972;Estadio Ramón Sánchez Pizjuán;Alejandro Hernández;Match Report;
6;Thu;27.09.18;20:00;Valladolid;1.3;2–1;0.6;Levante;16,440;Estadio Municipal José Zorrilla;David Medié;Match Report;
6;Thu;27.09.18;20:00;Alavés;1.6;1–1;1;Getafe;18,373;Estadio de Mendizorroza;Eduardo Prieto;Match Report;
6;Thu;27.09.18;22:00;Girona;0.8;0–1;1.6;Betis;11,358;Estadi Municipal de Montilivi;José González;Match Report;
;;;;;;;;;;;;;
7;Fri;28.09.18;21:00;Rayo Vallecano;1.4;2–2;2;Espanyol;12,100;Estadio del Rayo Vallecano;Alberola Rojas;Match Report;
7;Sat;29.09.18;13:00;Real Sociedad;1.2;0–1;1.2;Valencia;23,577;Estadio Municipal de Anoeta;Jesús Gil;Match Report;
7;Sat;29.09.18;16:15;Barcelona;2.9;1–1;0.8;Athletic Club;78,015;Camp Nou;Santiago Jaime;Match Report;
7;Sat;29.09.18;18:30;Eibar;0.9;1–3;1.6;Sevilla;5,443;Estadio Municipal de Ipurúa;Javier Estrada;Match Report;
7;Sat;29.09.18;20:45;Real Madrid;1.1;0–0;0.7;Atlético Madrid;78,642;Estadio Santiago Bernabéu;Juan Martínez;Match Report;
7;Sun;30.09.18;12:00;Huesca;1.5;1–1;1.4;Girona;6,779;Estadio El Alcoraz;Adrián Cordero;Match Report;
7;Sun;30.09.18;16:15;Villarreal;2.5;0–1;0.6;Valladolid;15,602;Estadio de la Cerámica;Ignacio Iglesias;Match Report;
7;Sun;30.09.18;18:30;Levante;1.7;2–1;0.7;Alavés;20,239;Estadio Ciudad de Valencia;Mario Melero;Match Report;
7;Sun;30.09.18;20:45;Betis;1.9;1–0;0.5;Leganés;48,115;Estadio Benito Villamarín;José Sánchez;Match Report;
7;Mon;01.10.18;21:00;Celta Vigo;0.5;1–1;1;Getafe;14,330;Estadio de Balaídos;Guillermo Cuadra;Match Report;
;;;;;;;;;;;;;
8;Fri;05.10.18;21:00;Athletic Club;1.7;1–3;2.2;Real Sociedad;46,884;San Mamés;Alejandro Hernández;Match Report;
8;Sat;06.10.18;13:00;Girona;1.2;2–3;1.9;Eibar;10,569;Estadi Municipal de Montilivi;Eduardo Prieto;Match Report;
8;Sat;06.10.18;16:15;Getafe;1.2;0–1;1.1;Levante;9,557;Coliseum Alfonso Pérez;José Luis Munuera;Match Report;
8;Sat;06.10.18;18:30;Alavés;0.8;1–0;0.9;Real Madrid;19,461;Estadio de Mendizorroza;Santiago Jaime;Match Report;
8;Sat;06.10.18;20:45;Leganés;0.9;1–0;0.3;Rayo Vallecano;11,539;Estadio Municipal de Butarque;David Medié;Match Report;
8;Sun;07.10.18;12:00;Valladolid;1.1;1–0;0.5;Huesca;17,300;Estadio Municipal José Zorrilla;Antonio Matéu Lahoz;Match Report;
8;Sun;07.10.18;16:15;Atlético Madrid;0.7;1–0;0.4;Betis;63,786;Estadio Wanda Metropolitano;Alberto Undiano;Match Report;
8;Sun;07.10.18;18:30;Sevilla;1.9;2–1;0.8;Celta Vigo;38,068;Estadio Ramón Sánchez Pizjuán;Pablo González;Match Report;
8;Sun;07.10.18;18:30;Espanyol;3.8;3–1;1.7;Villarreal;20,032;RCDE Stadium;Ricardo de Burgos;Match Report;
8;Sun;07.10.18;20:45;Valencia;1.4;1–1;0.4;Barcelona;46,249;Estadio de Mestalla;José González;Match Report;
;;;;;;;;;;;;;
9;Fri;19.10.18;21:00;Celta Vigo;1.1;0–1;1;Alavés;15,627;Estadio de Balaídos;Carlos del Cerro;Match Report;
9;Sat;20.10.18;13:00;Real Madrid;3.4;1–2;2;Levante;63,423;Estadio Santiago Bernabéu;Guillermo Cuadra;Match Report;
9;Sat;20.10.18;16:15;Valencia;1.4;1–1;1;Leganés;35,597;Estadio de Mestalla;Ignacio Iglesias;Match Report;
9;Sat;20.10.18;18:30;Villarreal;1.5;1–1;1;Atlético Madrid;17,518;Estadio de la Cerámica;Javier Estrada;Match Report;
9;Sat;20.10.18;20:45;Barcelona;2.5;4–2;1.8;Sevilla;88,712;Camp Nou;Juan Martínez;Match Report;
9;Sun;21.10.18;12:00;Rayo Vallecano;0.5;1–2;0.4;Getafe;12,040;Estadio del Rayo Vallecano;Mario Melero;Match Report;
9;Sun;21.10.18;16:15;Eibar;1.8;1–1;0.8;Athletic Club;6,475;Estadio Municipal de Ipurúa;Jesús Gil;Match Report;
9;Sun;21.10.18;18:30;Huesca;0.3;0–2;1.7;Espanyol;6,943;Estadio El Alcoraz;Eduardo Prieto;Match Report;
9;Sun;21.10.18;20:45;Betis;1.1;0–1;0.6;Valladolid;42,581;Estadio Benito Villamarín;Alberola Rojas;Match Report;
9;Mon;22.10.18;21:00;Real Sociedad;0.9;0–0;0.6;Girona;20,997;Estadio Municipal de Anoeta;Pablo González;Match Report;
;;;;;;;;;;;;;
3;Wed;24.10.18;19:00;Rayo Vallecano;0.9;1–1;1.2;Athletic Club;11,850;Estadio del Rayo Vallecano;Guillermo Cuadra;Match Report;
;;;;;;;;;;;;;
10;Fri;26.10.18;21:00;Valladolid;1.8;1–1;0.4;Espanyol;18,231;Estadio Municipal José Zorrilla;Adrián Cordero;Match Report;
10;Sat;27.10.18;13:00;Girona;2.2;2–1;1.4;Rayo Vallecano;6,618;Estadi Municipal de Montilivi;José Luis Munuera;Match Report;
10;Sat;27.10.18;16:15;Athletic Club;0.7;0–0;0.7;Valencia;39,261;San Mamés;Alberto Undiano;Match Report;
10;Sat;27.10.18;18:30;Celta Vigo;1.5;4–0;2.1;Eibar;15,509;Estadio de Balaídos;José González;Match Report;
10;Sat;27.10.18;18:30;Levante;1.2;2–0;1.1;Leganés;19,754;Estadio Ciudad de Valencia;Ricardo de Burgos;Match Report;
10;Sat;27.10.18;20:45;Atlético Madrid;1.7;2–0;0.3;Real Sociedad;57,514;Estadio Wanda Metropolitano;Antonio Matéu Lahoz;Match Report;
10;Sun;28.10.18;12:00;Getafe;2.2;2–0;0.7;Betis;12,086;Coliseum Alfonso Pérez;Santiago Jaime;Match Report;
10;Sun;28.10.18;16:15;Barcelona;3;5–1;2.1;Real Madrid;93,265;Camp Nou;José Sánchez;Match Report;
10;Sun;28.10.18;18:30;Alavés;2.1;2–1;1.7;Villarreal;16,956;Estadio de Mendizorroza;Guillermo Cuadra;Match Report;
10;Sun;28.10.18;20:45;Sevilla;2.3;2–1;0.6;Huesca;33,022;Estadio Ramón Sánchez Pizjuán;David Medié;Match Report;
;;;;;;;;;;;;;
11;Sat;03.11.18;13:00;Leganés;0.8;1–1;0.5;Atlético Madrid;12,319;Estadio Municipal de Butarque;Mario Melero;Match Report;
