Wk;Day;Date;Time;Home;Score;Away;Attendance;Venue;Referee;Match Report;Notes
1;Sat;08.08.15;12:45 (13:45);Manchester Utd;1–0;Tottenham;75,261;Old Trafford;Jonathan Moss;Match Report;
1;Sat;08.08.15;15:00 (16:00);Norwich City;1–3;Crystal Palace;27,036;Carrow Road;Simon Hooper;Match Report;
1;Sat;08.08.15;15:00 (16:00);Leicester City;4–2;Sunderland;32,242;King Power Stadium;Lee Mason;Match Report;
1;Sat;08.08.15;15:00 (16:00);Bournemouth;0–1;Aston Villa;11,155;Vitality Stadium;Mark Clattenburg;Match Report;
1;Sat;08.08.15;15:00 (16:00);Everton;2–2;Watford;39,063;Goodison Park;Mike Jones;Match Report;
1;Sat;08.08.15;17:30 (18:30);Chelsea;2–2;Swansea City;41,232;Stamford Bridge;Michael Oliver;Match Report;
1;Sun;09.08.15;13:30 (14:30);Arsenal;0–2;West Ham;59,996;Emirates Stadium;Martin Atkinson;Match Report;
1;Sun;09.08.15;13:30 (14:30);Newcastle Utd;2–2;Southampton;49,019;St. James' Park;Craig Pawson;Match Report;
1;Sun;09.08.15;16:00 (17:00);Stoke City;0–1;Liverpool;27,654;Bet365 Stadium;Anthony Taylor;Match Report;
1;Mon;10.08.15;20:00 (21:00);West Brom;0–3;Manchester City;24,564;The Hawthorns;Mike Dean;Match Report;
;;;;;;;;;;;
2;Fri;14.08.15;19:45 (20:45);Aston Villa;0–1;Manchester Utd;42,200;Villa Park;Mike Dean;Match Report;
2;Sat;15.08.15;12:45 (13:45);Southampton;0–3;Everton;30,966;St. Mary's Stadium;Michael Oliver;Match Report;
2;Sat;15.08.15;15:00 (16:00);Swansea City;2–0;Newcastle Utd;20,678;Liberty Stadium;Mike Jones;Match Report;
2;Sat;15.08.15;15:00 (16:00);Sunderland;1–3;Norwich City;41,379;Stadium of Light;Kevin Friend;Match Report;
2;Sat;15.08.15;15:00 (16:00);West Ham;1–2;Leicester City;34,857;Boleyn Ground;Anthony Taylor;Match Report;
2;Sat;15.08.15;15:00 (16:00);Tottenham;2–2;Stoke City;36,004;White Hart Lane;Robert Madley;Match Report;
2;Sat;15.08.15;15:00 (16:00);Watford;0–0;West Brom;20,011;Vicarage Road Stadium;Paul Tierney;Match Report;
2;Sun;16.08.15;13:30 (14:30);Crystal Palace;1–2;Arsenal;24,732;Selhurst Park;Lee Mason;Match Report;
2;Sun;16.08.15;16:00 (17:00);Manchester City;3–0;Chelsea;54,331;Etihad Stadium;Martin Atkinson;Match Report;
2;Mon;17.08.15;20:00 (21:00);Liverpool;1–0;Bournemouth;44,102;Anfield;Craig Pawson;Match Report;
;;;;;;;;;;;
3;Sat;22.08.15;12:45 (13:45);Manchester Utd;0–0;Newcastle Utd;75,354;Old Trafford;Craig Pawson;Match Report;
3;Sat;22.08.15;15:00 (16:00);Sunderland;1–1;Swansea City;39,198;Stadium of Light;Niel Swarbrick;Match Report;
3;Sat;22.08.15;15:00 (16:00);Leicester City;1–1;Tottenham;31,971;King Power Stadium;Martin Atkinson;Match Report;
3;Sat;22.08.15;15:00 (16:00);Crystal Palace;2–1;Aston Villa;25,295;Selhurst Park;Keith Stroud;Match Report;
3;Sat;22.08.15;15:00 (16:00);Norwich City;1–1;Stoke City;26,771;Carrow Road;Mike Dean;Match Report;
3;Sat;22.08.15;15:00 (16:00);West Ham;3–4;Bournemouth;34,977;Boleyn Ground;Jonathan Moss;Match Report;
3;Sun;23.08.15;13:30 (14:30);West Brom;2–3;Chelsea;23,256;The Hawthorns;Mark Clattenburg;Match Report;
3;Sun;23.08.15;16:00 (17:00);Watford;0–0;Southampton;20,166;Vicarage Road Stadium;Andre Marriner;Match Report;
3;Sun;23.08.15;16:00 (17:00);Everton;0–2;Manchester City;38,523;Goodison Park;Anthony Taylor;Match Report;
3;Mon;24.08.15;20:00 (21:00);Arsenal;0–0;Liverpool;60,080;Emirates Stadium;Michael Oliver;Match Report;
;;;;;;;;;;;
4;Sat;29.08.15;12:45 (13:45);Newcastle Utd;0–1;Arsenal;50,388;St. James' Park;Andre Marriner;Match Report;
4;Sat;29.08.15;15:00 (16:00);Manchester City;2–0;Watford;53,218;Etihad Stadium;Mark Clattenburg;Match Report;
4;Sat;29.08.15;15:00 (16:00);Bournemouth;1–1;Leicester City;11,155;Vitality Stadium;Niel Swarbrick;Match Report;
4;Sat;29.08.15;15:00 (16:00);Chelsea;1–2;Crystal Palace;41,581;Stamford Bridge;Craig Pawson;Match Report;
4;Sat;29.08.15;15:00 (16:00);Aston Villa;2–2;Sunderland;35,399;Villa Park;Robert Madley;Match Report;
4;Sat;29.08.15;15:00 (16:00);Liverpool;0–3;West Ham;43,680;Anfield;Kevin Friend;Match Report;
4;Sat;29.08.15;15:00 (16:00);Stoke City;0–1;West Brom;26,747;Bet365 Stadium;Michael Oliver;Match Report;
4;Sat;29.08.15;17:30 (18:30);Tottenham;0–0;Everton;35,865;White Hart Lane;Mike Jones;Match Report;
4;Sun;30.08.15;13:30 (14:30);Southampton;3–0;Norwich City;29,573;St. Mary's Stadium;Jonathan Moss;Match Report;
4;Sun;30.08.15;16:00 (17:00);Swansea City;2–1;Manchester Utd;20,828;Liberty Stadium;Martin Atkinson;Match Report;
;;;;;;;;;;;
5;Sat;12.09.15;12:45 (13:45);Everton;3–1;Chelsea;38,311;Goodison Park;Andre Marriner;Match Report;
5;Sat;12.09.15;15:00 (16:00);West Brom;0–0;Southampton;24,265;The Hawthorns;Stuart Attwell;Match Report;
5;Sat;12.09.15;15:00 (16:00);Arsenal;2–0;Stoke City;59,963;Emirates Stadium;Jonathan Moss;Match Report;
5;Sat;12.09.15;15:00 (16:00);Crystal Palace;0–1;Manchester City;25,167;Selhurst Park;Mike Jones;Match Report;
5;Sat;12.09.15;15:00 (16:00);Norwich City;3–1;Bournemouth;27,018;Carrow Road;Martin Atkinson;Match Report;
5;Sat;12.09.15;15:00 (16:00);Watford;1–0;Swansea City;20,057;Vicarage Road Stadium;Robert Madley;Match Report;
5;Sat;12.09.15;17:30 (18:30);Manchester Utd;3–1;Liverpool;75,347;Old Trafford;Michael Oliver;Match Report;
5;Sun;13.09.15;13:30 (14:30);Sunderland;0–1;Tottenham;40,303;Stadium of Light;Craig Pawson;Match Report;
5;Sun;13.09.15;16:00 (17:00);Leicester City;3–2;Aston Villa;31,733;King Power Stadium;Mike Dean;Match Report;
5;Mon;14.09.15;20:00 (21:00);West Ham;2–0;Newcastle Utd;34,907;Boleyn Ground;Anthony Taylor;Match Report;
;;;;;;;;;;;
6;Sat;19.09.15;12:45 (13:45);Chelsea;2–0;Arsenal;41,584;Stamford Bridge;Mike Dean;Match Report;
6;Sat;19.09.15;15:00 (16:00);Stoke City;2–2;Leicester City;27,642;Bet365 Stadium;Andre Marriner;Match Report;
6;Sat;19.09.15;15:00 (16:00);Newcastle Utd;1–2;Watford;47,806;St. James' Park;Roger East;Match Report;
6;Sat;19.09.15;15:00 (16:00);Aston Villa;0–1;West Brom;36,321;Villa Park;Martin Atkinson;Match Report;
6;Sat;19.09.15;15:00 (16:00);Bournemouth;2–0;Sunderland;11,271;Vitality Stadium;Kevin Friend;Match Report;
6;Sat;19.09.15;15:00 (16:00);Swansea City;0–0;Everton;20,805;Liberty Stadium;Stuart Attwell;Match Report;
6;Sat;19.09.15;17:30 (18:30);Manchester City;1–2;West Ham;53,545;Etihad Stadium;Robert Madley;Match Report;
6;Sun;20.09.15;13:30 (14:30);Tottenham;1–0;Crystal Palace;35,723;White Hart Lane;Michael Oliver;Match Report;
6;Sun;20.09.15;16:00 (17:00);Southampton;2–3;Manchester Utd;31,588;St. Mary's Stadium;Mark Clattenburg;Match Report;
6;Sun;20.09.15;16:00 (17:00);Liverpool;1–1;Norwich City;44,072;Anfield;Anthony Taylor;Match Report;
;;;;;;;;;;;
7;Sat;26.09.15;12:45 (13:45);Tottenham;4–1;Manchester City;35,867;White Hart Lane;Mark Clattenburg;Match Report;
7;Sat;26.09.15;15:00 (16:00);Liverpool;3–2;Aston Villa;44,228;Anfield;Jonathan Moss;Match Report;
7;Sat;26.09.15;15:00 (16:00);Leicester City;2–5;Arsenal;32,047;King Power Stadium;Craig Pawson;Match Report;
7;Sat;26.09.15;15:00 (16:00);Manchester Utd;3–0;Sunderland;75,328;Old Trafford;Mike Jones;Match Report;
7;Sat;26.09.15;15:00 (16:00);Southampton;3–1;Swansea City;30,704;St. Mary's Stadium;Roger East;Match Report;
7;Sat;26.09.15;15:00 (16:00);Stoke City;2–1;Bournemouth;27,742;Bet365 Stadium;Lee Mason;Match Report;
7;Sat;26.09.15;15:00 (16:00);West Ham;2–2;Norwich City;34,857;Boleyn Ground;Mike Dean;Match Report;
7;Sat;26.09.15;17:30 (18:30);Newcastle Utd;2–2;Chelsea;48,682;St. James' Park;Martin Atkinson;Match Report;
7;Sun;27.09.15;16:00 (17:00);Watford;0–1;Crystal Palace;20,168;Vicarage Road Stadium;Anthony Taylor;Match Report;
7;Mon;28.09.15;20:00 (21:00);West Brom;2–3;Everton;24,240;The Hawthorns;Robert Madley;Match Report;
;;;;;;;;;;;
8;Sat;03.10.15;12:45 (13:45);Crystal Palace;2–0;West Brom;24,033;Selhurst Park;Jonathan Moss;Match Report;
8;Sat;03.10.15;15:00 (16:00);Sunderland;2–2;West Ham;42,932;Stadium of Light;Niel Swarbrick;Match Report;
8;Sat;03.10.15;15:00 (16:00);Bournemouth;1–1;Watford;11,187;Vitality Stadium;Michael Oliver;Match Report;
8;Sat;03.10.15;15:00 (16:00);Norwich City;1–2;Leicester City;27,067;Carrow Road;Mark Clattenburg;Match Report;
8;Sat;03.10.15;15:00 (16:00);Aston Villa;0–1;Stoke City;33,189;Villa Park;Mike Jones;Match Report;
8;Sat;03.10.15;15:00 (16:00);Manchester City;6–1;Newcastle Utd;53,850;Etihad Stadium;Kevin Friend;Match Report;
8;Sat;03.10.15;17:30 (18:30);Chelsea;1–3;Southampton;41,642;Stamford Bridge;Robert Madley;Match Report;
8;Sun;04.10.15;13:30 (14:30);Everton;1–1;Liverpool;39,598;Goodison Park;Martin Atkinson;Match Report;
8;Sun;04.10.15;16:00 (17:00);Arsenal;3–0;Manchester Utd;60,084;Emirates Stadium;Anthony Taylor;Match Report;
8;Sun;04.10.15;16:00 (17:00);Swansea City;2–2;Tottenham;20,845;Liberty Stadium;Mike Dean;Match Report;
;;;;;;;;;;;
9;Sat;17.10.15;12:45 (13:45);Tottenham;0–0;Liverpool;35,926;White Hart Lane;Craig Pawson;Match Report;
9;Sat;17.10.15;15:00 (16:00);Southampton;2–2;Leicester City;30,966;St. Mary's Stadium;Paul Tierney;Match Report;
9;Sat;17.10.15;15:00 (16:00);Crystal Palace;1–3;West Ham;24,812;Selhurst Park;Mark Clattenburg;Match Report;
9;Sat;17.10.15;15:00 (16:00);Everton;0–3;Manchester Utd;39,553;Goodison Park;Jonathan Moss;Match Report;
9;Sat;17.10.15;15:00 (16:00);West Brom;1–0;Sunderland;24,225;The Hawthorns;Martin Atkinson;Match Report;
9;Sat;17.10.15;15:00 (16:00);Manchester City;5–1;Bournemouth;54,502;Etihad Stadium;Mike Dean;Match Report;
9;Sat;17.10.15;15:00 (16:00);Chelsea;2–0;Aston Villa;41,596;Stamford Bridge;Roger East;Match Report;
9;Sat;17.10.15;17:30 (18:30);Watford;0–3;Arsenal;20,721;Vicarage Road Stadium;Mike Jones;Match Report;
9;Sun;18.10.15;16:00 (17:00);Newcastle Utd;6–2;Norwich City;47,006;St. James' Park;Anthony Taylor;Match Report;
9;Mon;19.10.15;20:00 (21:00);Swansea City;0–1;Stoke City;20,044;Liberty Stadium;Robert Madley;Match Report;
;;;;;;;;;;;
10;Sat;24.10.15;15:00 (16:00);Leicester City;1–0;Crystal Palace;31,752;King Power Stadium;Mike Dean;Match Report;
10;Sat;24.10.15;15:00 (16:00);West Ham;2–1;Chelsea;34,977;Boleyn Ground;Jonathan Moss;Match Report;
10;Sat;24.10.15;15:00 (16:00);Norwich City;0–1;West Brom;26,983;Carrow Road;Kevin Friend;Match Report;
10;Sat;24.10.15;15:00 (16:00);Aston Villa;1–2;Swansea City;33,324;Villa Park;Niel Swarbrick;Match Report;
10;Sat;24.10.15;15:00 (16:00);Stoke City;0–2;Watford;27,587;Bet365 Stadium;Martin Atkinson;Match Report;
10;Sat;24.10.15;17:30 (18:30);Arsenal;2–1;Everton;59,985;Emirates Stadium;Lee Mason;Match Report;
10;Sun;25.10.15;12:00 (13:00);Sunderland;3–0;Newcastle Utd;47,653;Stadium of Light;Robert Madley;Match Report;
10;Sun;25.10.15;14:05 (15:05);Manchester Utd;0–0;Manchester City;75,329;Old Trafford;Mark Clattenburg;Match Report;
10;Sun;25.10.15;14:05 (15:05);Bournemouth;1–5;Tottenham;11,332;Vitality Stadium;Roger East;Match Report;
10;Sun;25.10.15;16:15 (17:15);Liverpool;1–1;Southampton;44,171;Anfield;Andre Marriner;Match Report;
;;;;;;;;;;;
11;Sat;31.10.15;12:45 (13:45);Chelsea;1–3;Liverpool;41,577;Stamford Bridge;Mark Clattenburg;Match Report;
