Wk;Day;Date;Time;Home;Score;Away;Attendance;Venue;Referee;Match Report;Notes
6;Sat;01.10.16;15:30;Hertha BSC;2–0;Hamburger SV;57,656;Olympiastadion Berlin;Guido Winkmann;Match Report;
6;Sat;01.10.16;15:30;Freiburg;1–0;Eint Frankfurt;24,000;Schwarzwald-Stadion;Marco Fritz;Match Report;
6;Sat;01.10.16;15:30;Bayern Munich;1–1;Köln;75,000;Allianz Arena;Daniel Siebert;Match Report;
6;Sat;01.10.16;18:30;Leverkusen;2–0;Dortmund;30,210;BayArena;Manuel Gräfe;Match Report;
6;Sun;02.10.16;15:30;Wolfsburg;0–0;Mainz 05;25,876;Volkswagen Arena;Benjamin Brand;Match Report;
6;Sun;02.10.16;17:30;Schalke 04;4–0;M'Gladbach;62,271;Veltins-Arena;Sascha Stegemann;Match Report;
;;;;;;;;;;;
7;Fri;14.10.16;20:30;Dortmund;1–1;Hertha BSC;80,800;Signal Iduna Park;Patrick Ittrich;Match Report;
7;Sat;15.10.16;15:30;Augsburg;1–1;Schalke 04;30,660;WWK Arena;Tobias Stieler;Match Report;
7;Sat;15.10.16;15:30;M'Gladbach;0–0;Hamburger SV;53,636;Stadion im Borussia-Park;Wolfgang Stark;Match Report;
7;Sat;15.10.16;15:30;Eint Frankfurt;2–2;Bayern Munich;49,500;Commerzbank-Arena;Bastian Dankert;Match Report;
7;Sat;15.10.16;15:30;Hoffenheim;2–1;Freiburg;28,540;PreZero Arena;Deniz Aytekin;Match Report;
7;Sat;15.10.16;15:30;Köln;2–1;Ingolstadt 04;49,200;RheinEnergieSTADION;Tobias Welz;Match Report;
7;Sat;15.10.16;18:30;Werder Bremen;2–1;Leverkusen;41,000;Weserstadion;Marco Fritz;Match Report;
7;Sun;16.10.16;15:30;Mainz 05;2–1;Darmstadt 98;29,987;Opel Arena;Felix Brych;Match Report;
7;Sun;16.10.16;17:30;Wolfsburg;0–1;RB Leipzig;30,000;Volkswagen Arena;Sascha Stegemann;Match Report;
;;;;;;;;;;;
8;Fri;21.10.16;20:30;Hamburger SV;0–3;Eint Frankfurt;52,258;Volksparkstadion;Günter Perl;Match Report;
