Wk;Day;Date;Time;Home;xG;Score;xG;Away;Attendance;Venue;Referee;Match Report;Notes
1;Fri;16.08.19;20:30;Bayern Munich;2.6;2–2;1;Hertha BSC;75,000;Allianz Arena;Harm Osmers;Match Report;
1;Sat;17.08.19;15:30;Dortmund;2.7;5–1;0.7;Augsburg;81,365;Signal Iduna Park;Frank Willenborg;Match Report;
1;Sat;17.08.19;15:30;Leverkusen;2.7;3–2;1.2;Paderborn 07;26,208;BayArena;Tobias Stieler;Match Report;
1;Sat;17.08.19;15:30;Wolfsburg;0.9;2–1;1.2;Köln;25,099;Volkswagen Arena;Sven Jablonski;Match Report;
1;Sat;17.08.19;15:30;Freiburg;1.8;3–0;0.9;Mainz 05;24,000;Schwarzwald-Stadion;Robert Hartmann;Match Report;
1;Sat;17.08.19;15:30;Werder Bremen;2.4;1–3;0.9;Düsseldorf;42,100;Weserstadion;Felix Zwayer;Match Report;
1;Sat;17.08.19;18:30;M'Gladbach;1.6;0–0;0.6;Schalke 04;54,022;Stadion im Borussia-Park;Felix Brych;Match Report;
1;Sun;18.08.19;15:30;Eint Frankfurt;1.1;1–0;0.6;Hoffenheim;50,200;Commerzbank-Arena;Daniel Siebert;Match Report;
1;Sun;18.08.19;18:00;Union Berlin;0.5;0–4;3.1;RB Leipzig;22,467;Stadion An der Alten Försterei;Markus Schmidt;Match Report;
;;;;;;;;;;;;;
2;Fri;23.08.19;20:30;Köln;0.7;1–3;1.4;Dortmund;50,000;RheinEnergieSTADION;Christian Dingert;Match Report;
2;Sat;24.08.19;15:30;Paderborn 07;1.7;1–3;2.2;Freiburg;14,322;Benteler-Arena;Tobias Welz;Match Report;
2;Sat;24.08.19;15:30;Mainz 05;1.3;1–3;1.6;M'Gladbach;28,005;Opel Arena;Martin Petersen;Match Report;
2;Sat;24.08.19;15:30;Augsburg;1.3;1–1;1.1;Union Berlin;27,703;WWK Arena;Robert Schröder;Match Report;
2;Sat;24.08.19;15:30;Hoffenheim;0.7;3–2;1.3;Werder Bremen;27,333;PreZero Arena;Sascha Stegemann;Match Report;
2;Sat;24.08.19;15:30;Düsseldorf;1;1–3;1.8;Leverkusen;44,538;Merkur Spielarena;Patrick Ittrich;Match Report;
2;Sat;24.08.19;18:30;Schalke 04;1;0–3;1.5;Bayern Munich;62,271;Veltins-Arena;Marco Fritz;Match Report;
2;Sun;25.08.19;15:30;RB Leipzig;1.4;2–1;1;Eint Frankfurt;40,108;Red Bull Arena;Benjamin Cortus;Match Report;
2;Sun;25.08.19;18:00;Hertha BSC;1.1;0–3;1.3;Wolfsburg;42,738;Olympiastadion Berlin;Guido Winkmann;Match Report;
;;;;;;;;;;;;;
3;Fri;30.08.19;20:30;M'Gladbach;1.1;1–3;2.2;RB Leipzig;47,327;Stadion im Borussia-Park;Sven Jablonski;Match Report;
3;Sat;31.08.19;15:30;Wolfsburg;0.6;1–1;0.7;Paderborn 07;23,750;Volkswagen Arena;Daniel Schlager;Match Report;
3;Sat;31.08.19;15:30;Leverkusen;0.8;0–0;0.3;Hoffenheim;26,506;BayArena;Felix Zwayer;Match Report;
3;Sat;31.08.19;15:30;Bayern Munich;2.7;6–1;0.4;Mainz 05;75,000;Allianz Arena;Markus Schmidt;Match Report;
3;Sat;31.08.19;15:30;Schalke 04;1;3–0;0.8;Hertha BSC;58,875;Veltins-Arena;Tobias Stieler;Match Report;
3;Sat;31.08.19;15:30;Freiburg;0.7;1–2;1.3;Köln;24,000;Schwarzwald-Stadion;Robert Kampka;Match Report;
3;Sat;31.08.19;18:30;Union Berlin;1.9;3–1;1.9;Dortmund;22,012;Stadion An der Alten Försterei;Felix Brych;Match Report;
3;Sun;01.09.19;15:30;Werder Bremen;2.5;3–2;1.5;Augsburg;40,041;Weserstadion;Sören Storks;Match Report;
3;Sun;01.09.19;18:00;Eint Frankfurt;1.2;2–1;0.6;Düsseldorf;49,800;Commerzbank-Arena;Frank Willenborg;Match Report;
;;;;;;;;;;;;;
4;Fri;13.09.19;20:30;Düsseldorf;0.5;1–1;1.3;Wolfsburg;36,758;Merkur Spielarena;Manuel Gräfe;Match Report;
4;Sat;14.09.19;15:30;Köln;0.9;0–1;1.7;M'Gladbach;50,000;RheinEnergieSTADION;Deniz Aytekin;Match Report;
4;Sat;14.09.19;15:30;Augsburg;2;2–1;1;Eint Frankfurt;28,513;WWK Arena;Harm Osmers;Match Report;
4;Sat;14.09.19;15:30;Mainz 05;1.7;2–1;2.2;Hertha BSC;22,798;Opel Arena;Marco Fritz;Match Report;
4;Sat;14.09.19;15:30;Dortmund;2.5;4–0;0.8;Leverkusen;81,365;Signal Iduna Park;Daniel Siebert;Match Report;
4;Sat;14.09.19;15:30;Union Berlin;1.6;1–2;2.7;Werder Bremen;22,012;Stadion An der Alten Försterei;Tobias Welz;Match Report;
4;Sat;14.09.19;18:30;RB Leipzig;1.5;1–1;1.5;Bayern Munich;42,146;Red Bull Arena;Sascha Stegemann;Match Report;
4;Sun;15.09.19;15:30;Hoffenheim;1.5;0–3;1.2;Freiburg;29,395;PreZero Arena;Guido Winkmann;Match Report;
4;Sun;15.09.19;18:00;Paderborn 07;1.1;1–5;2.7;Schalke 04;15,000;Benteler-Arena;Robert Schröder;Match Report;
;;;;;;;;;;;;;
5;Fri;20.09.19;20:30;Schalke 04;1.3;2–1;1.2;Mainz 05;58,687;Veltins-Arena;Daniel Schlager;Match Report;
5;Sat;21.09.19;15:30;Leverkusen;1.7;2–0;0.2;Union Berlin;27,430;BayArena;Robert Hartmann;Match Report;
5;Sat;21.09.19;15:30;Freiburg;1;1–1;1;Augsburg;23,800;Schwarzwald-Stadion;Bastian Dankert;Match Report;
5;Sat;21.09.19;15:30;Hertha BSC;1.3;2–1;1.3;Paderborn 07;43,588;Olympiastadion Berlin;Frank Willenborg;Match Report;
5;Sat;21.09.19;15:30;Bayern Munich;2.7;4–0;0.8;Köln;75,000;Allianz Arena;Patrick Ittrich;Match Report;
5;Sat;21.09.19;18:30;Werder Bremen;0.7;0–3;1.5;RB Leipzig;40,550;Weserstadion;Tobias Stieler;Match Report;
5;Sun;22.09.19;15:30;M'Gladbach;2.8;2–1;0.9;Düsseldorf;52,413;Stadion im Borussia-Park;Christian Dingert;Match Report;
5;Sun;22.09.19;18:00;Eint Frankfurt;1.1;2–2;2.2;Dortmund;51,500;Commerzbank-Arena;Markus Schmidt;Match Report;
