Wk;Day;Date;Time;Home;Score;Away;Attendance;Venue;Referee;Match Report;Notes
1;Fri;20.08.10;;Bayern Munich;2–1;Wolfsburg;;;Thorsten Kinhöfer;Match Report;
1;Sat;21.08.10;;Köln;1–3;Kaiserslautern;;;Felix Brych;Match Report;
1;Sat;21.08.10;;Hamburger SV;2–1;Schalke 04;;;Wolfgang Stark;Match Report;
1;Sat;21.08.10;;M'Gladbach;1–1;Nürnberg;;;Peter Gagelmann;Match Report;
1;Sat;21.08.10;;Hannover 96;2–1;Eint Frankfurt;;;Deniz Aytekin;Match Report;
1;Sat;21.08.10;;Freiburg;1–3;St. Pauli;;;Jochen Drees;Match Report;
1;Sat;21.08.10;;Hoffenheim;4–1;Werder Bremen;;;Günter Perl;Match Report;
1;Sun;22.08.10;;Dortmund;0–2;Leverkusen;;;Florian Meyer;Match Report;
1;Sun;22.08.10;;Mainz 05;2–0;Stuttgart;;;Manuel Gräfe;Match Report;
;;;;;;;;;;;
2;Fri;27.08.10;;Kaiserslautern;2–0;Bayern Munich;;;Florian Meyer;Match Report;
2;Sat;28.08.10;;Werder Bremen;4–2;Köln;;;Marco Fritz;Match Report;
2;Sat;28.08.10;;Eint Frankfurt;1–3;Hamburger SV;;;Felix Zwayer;Match Report;
2;Sat;28.08.10;;Nürnberg;1–2;Freiburg;;;Tobias Welz;Match Report;
2;Sat;28.08.10;;St. Pauli;0–1;Hoffenheim;;;Manuel Gräfe;Match Report;
2;Sat;28.08.10;;Schalke 04;1–2;Hannover 96;;;Markus Schmidt;Match Report;
2;Sat;28.08.10;;Wolfsburg;3–4;Mainz 05;;;Peter Sippel;Match Report;
2;Sun;29.08.10;;Leverkusen;3–6;M'Gladbach;;;Wolfgang Stark;Match Report;
2;Sun;29.08.10;;Stuttgart;1–3;Dortmund;;;Peter Gagelmann;Match Report;
;;;;;;;;;;;
3;Fri;10.09.10;;Hoffenheim;2–0;Schalke 04;;;Felix Brych;Match Report;
3;Sat;11.09.10;;Bayern Munich;0–0;Werder Bremen;;;Knut Kircher;Match Report;
3;Sat;11.09.10;;Hannover 96;2–2;Leverkusen;;;Guido Winkmann;Match Report;
