Wk;Day;Date;Time;Home;Score;Away;Attendance;Venue;Referee;Match Report;Notes
1;Fri;21.08.15;20:30;Málaga;0–0;Sevilla;30,372;Estadio La Rosaleda;Alfonso Álvarez;Match Report;
1;Sat;22.08.15;18:30;Espanyol;1–0;Getafe;16,248;RCDE Stadium;Jesús Gil;Match Report;
1;Sat;22.08.15;18:30;La Coruña;0–0;Real Sociedad;23,306;Estadio Municipal de Riazor;Antonio Matéu Lahoz;Match Report;
1;Sat;22.08.15;20:30;Atlético Madrid;1–0;Las Palmas;45,107;Estadio Vicente Calderón;Eduardo Prieto;Match Report;
1;Sat;22.08.15;22:30;Rayo Vallecano;0–0;Valencia;9,608;Estadio del Rayo Vallecano;Alberto Undiano;Match Report;
1;Sun;23.08.15;18:30;Athletic Club;0–1;Barcelona;44,737;San Mamés;Carlos del Cerro;Match Report;
1;Sun;23.08.15;20:30;Sporting Gijón;0–0;Real Madrid;28,105;Estadio Municipal El Molinón;Javier Estrada;Match Report;
1;Sun;23.08.15;22:00;Levante;1–2;Celta Vigo;11,701;Estadio Ciudad de Valencia;Ricardo de Burgos;Match Report;
1;Sun;23.08.15;22:30;Betis;1–1;Villarreal;38,572;Estadio Benito Villamarín;Iñaki Bikandi;Match Report;
1;Mon;24.08.15;20:30;Granada;1–3;Eibar;14,795;Estadio Nuevo Los Cármenes;Ignacio Iglesias;Match Report;
;;;;;;;;;;;
2;Fri;28.08.15;20:30;Villarreal;3–1;Espanyol;17,650;Estadio de la Cerámica;Carlos Velasco;Match Report;
2;Sat;29.08.15;18:30;Real Sociedad;0–0;Sporting Gijón;22,478;Estadio Municipal de Anoeta;José Sánchez;Match Report;
2;Sat;29.08.15;20:30;Barcelona;1–0;Málaga;80,812;Camp Nou;Santiago Jaime;Match Report;
2;Sat;29.08.15;22:00;Celta Vigo;3–0;Rayo Vallecano;17,606;Estadio de Balaídos;Juan Martínez;Match Report;
2;Sat;29.08.15;22:30;Real Madrid;5–0;Betis;70,876;Estadio Santiago Bernabéu;Alejandro Hernández;Match Report;
2;Sun;30.08.15;18:30;Eibar;2–0;Athletic Club;5,509;Estadio Municipal de Ipurúa;David Fernández;Match Report;
2;Sun;30.08.15;20:30;Sevilla;0–3;Atlético Madrid;38,976;Estadio Ramón Sánchez Pizjuán;Carlos Clos Gómez;Match Report;
2;Sun;30.08.15;20:30;Valencia;1–1;La Coruña;42,000;Estadio de Mestalla;José González;Match Report;
2;Sun;30.08.15;21:30 (22:30);Las Palmas;0–0;Levante;19,057;Estadio de Gran Canaria;Pedro Pérez;Match Report;
2;Sun;30.08.15;22:30;Getafe;1–2;Granada;6,000;Coliseum Alfonso Pérez;Eduardo Prieto;Match Report;
;;;;;;;;;;;
3;Fri;11.09.15;20:30;Levante;1–1;Sevilla;16,568;Estadio Ciudad de Valencia;Ignacio Iglesias;Match Report;
3;Sat;12.09.15;16:00;Espanyol;0–6;Real Madrid;32,155;RCDE Stadium;Iñaki Bikandi;Match Report;
3;Sat;12.09.15;18:15;Sporting Gijón;0–1;Valencia;23,206;Estadio Municipal El Molinón;Carlos del Cerro;Match Report;
3;Sat;12.09.15;20:30;Atlético Madrid;1–2;Barcelona;53,491;Estadio Vicente Calderón;Antonio Matéu Lahoz;Match Report;
