Wk;Day;Date;Time;Home;Score;Away;Attendance;Venue;Referee;Match Report;Notes
1;Fri;22.08.14;20:30;Bayern Munich;2–1;Wolfsburg;71,000;Allianz Arena;Felix Zwayer;Match Report;
1;Sat;23.08.14;15:30;Eint Frankfurt;1–0;Freiburg;46,200;Commerzbank-Arena;Florian Meyer;Match Report;
1;Sat;23.08.14;15:30;Hannover 96;2–1;Schalke 04;49,000;HDI-Arena;Peter Gagelmann;Match Report;
1;Sat;23.08.14;15:30;Hoffenheim;2–0;Augsburg;23,792;PreZero Arena;Tobias Stieler;Match Report;
1;Sat;23.08.14;15:30;Köln;0–0;Hamburger SV;50,000;RheinEnergieSTADION;Wolfgang Stark;Match Report;
1;Sat;23.08.14;15:30;Hertha BSC;2–2;Werder Bremen;56,972;Olympiastadion Berlin;Thorsten Kinhöfer;Match Report;
1;Sat;23.08.14;18:30;Dortmund;0–2;Leverkusen;80,667;Signal Iduna Park;Deniz Aytekin;Match Report;
1;Sun;24.08.14;15:30;Paderborn 07;2–2;Mainz 05;14,824;Benteler-Arena;Peter Sippel;Match Report;
1;Sun;24.08.14;17:30;M'Gladbach;1–1;Stuttgart;50,203;Stadion im Borussia-Park;Christian Dingert;Match Report;
;;;;;;;;;;;
2;Fri;29.08.14;20:30;Augsburg;2–3;Dortmund;30,660;WWK Arena;Knut Kircher;Match Report;
2;Sat;30.08.14;15:30;Leverkusen;4–2;Hertha BSC;27,819;BayArena;Tobias Stieler;Match Report;
2;Sat;30.08.14;15:30;Stuttgart;0–2;Köln;55,000;Mercedes-Benz Arena;Felix Brych;Match Report;
2;Sat;30.08.14;15:30;Werder Bremen;1–1;Hoffenheim;38,900;Weserstadion;Robert Hartmann;Match Report;
2;Sat;30.08.14;15:30;Hamburger SV;0–3;Paderborn 07;54,452;Volksparkstadion;Bastian Dankert;Match Report;
2;Sat;30.08.14;15:30;Wolfsburg;2–2;Eint Frankfurt;27,528;Volkswagen Arena;Günter Perl;Match Report;
2;Sat;30.08.14;18:30;Schalke 04;1–1;Bayern Munich;61,973;Veltins-Arena;Marco Fritz;Match Report;
2;Sun;31.08.14;15:30;Mainz 05;0–0;Hannover 96;27,647;Opel Arena;Sascha Stegemann;Match Report;
2;Sun;31.08.14;17:30;Freiburg;0–0;M'Gladbach;24,000;Schwarzwald-Stadion;Peter Gagelmann;Match Report;
;;;;;;;;;;;
3;Fri;12.09.14;20:30;Leverkusen;3–3;Werder Bremen;30,210;BayArena;Christian Dingert;Match Report;
3;Sat;13.09.14;15:30;Dortmund;3–1;Freiburg;80,200;Signal Iduna Park;Bastian Dankert;Match Report;
3;Sat;13.09.14;15:30;Paderborn 07;0–0;Köln;14,993;Benteler-Arena;Peter Gagelmann;Match Report;
3;Sat;13.09.14;15:30;Hertha BSC;1–3;Mainz 05;42,069;Olympiastadion Berlin;Guido Winkmann;Match Report;
3;Sat;13.09.14;15:30;Bayern Munich;2–0;Stuttgart;71,000;Allianz Arena;Thorsten Kinhöfer;Match Report;
3;Sat;13.09.14;15:30;Hoffenheim;1–1;Wolfsburg;23,813;PreZero Arena;Wolfgang Stark;Match Report;
3;Sat;13.09.14;18:30;M'Gladbach;4–1;Schalke 04;54,010;Stadion im Borussia-Park;Felix Brych;Match Report;
3;Sun;14.09.14;15:30;Eint Frankfurt;0–1;Augsburg;43,500;Commerzbank-Arena;Manuel Gräfe;Match Report;
3;Sun;14.09.14;17:30;Hannover 96;2–0;Hamburger SV;49,000;HDI-Arena;Markus Schmidt;Match Report;
;;;;;;;;;;;
4;Fri;19.09.14;20:30;Freiburg;2–2;Hertha BSC;23,600;Schwarzwald-Stadion;Florian Meyer;Match Report;
4;Sat;20.09.14;15:30;Paderborn 07;2–0;Hannover 96;15,000;Benteler-Arena;Knut Kircher;Match Report;
4;Sat;20.09.14;15:30;Schalke 04;2–2;Eint Frankfurt;61,798;Veltins-Arena;Markus Schmidt;Match Report;
4;Sat;20.09.14;15:30;Augsburg;4–2;Werder Bremen;29,044;WWK Arena;Marco Fritz;Match Report;
4;Sat;20.09.14;15:30;Hamburger SV;0–0;Bayern Munich;57,000;Volksparkstadion;Christian Dingert;Match Report;
4;Sat;20.09.14;15:30;Stuttgart;0–2;Hoffenheim;44,000;Mercedes-Benz Arena;Peter Sippel;Match Report;
4;Sat;20.09.14;18:30;Mainz 05;2–0;Dortmund;34,000;Opel Arena;Günter Perl;Match Report;
4;Sun;21.09.14;15:30;Wolfsburg;4–1;Leverkusen;27,811;Volkswagen Arena;Deniz Aytekin;Match Report;
4;Sun;21.09.14;17:30;Köln;0–0;M'Gladbach;50,000;RheinEnergieSTADION;Felix Zwayer;Match Report;
;;;;;;;;;;;
5;Tue;23.09.14;20:00;Hoffenheim;3–3;Freiburg;24,872;PreZero Arena;Thorsten Kinhöfer;Match Report;
5;Tue;23.09.14;20:00;Werder Bremen;0–3;Schalke 04;40,139;Weserstadion;Wolfgang Stark;Match Report;
5;Tue;23.09.14;20:00;Eint Frankfurt;2–2;Mainz 05;44,100;Commerzbank-Arena;Felix Brych;Match Report;
5;Tue;23.09.14;20:00;Bayern Munich;4–0;Paderborn 07;71,000;Allianz Arena;Sascha Stegemann;Match Report;
5;Wed;24.09.14;20:00;Hannover 96;1–0;Köln;39,400;HDI-Arena;Tobias Stieler;Match Report;
5;Wed;24.09.14;20:00;Hertha BSC;1–0;Wolfsburg;35,847;Olympiastadion Berlin;Robert Hartmann;Match Report;
5;Wed;24.09.14;20:00;M'Gladbach;1–0;Hamburger SV;44,175;Stadion im Borussia-Park;Deniz Aytekin;Match Report;
5;Wed;24.09.14;20:00;Leverkusen;1–0;Augsburg;23,081;BayArena;Guido Winkmann;Match Report;
5;Wed;24.09.14;20:00;Dortmund;2–2;Stuttgart;79,500;Signal Iduna Park;Manuel Gräfe;Match Report;
;;;;;;;;;;;
6;Fri;26.09.14;20:30;Mainz 05;0–0;Hoffenheim;28,729;Opel Arena;Felix Zwayer;Match Report;
6;Sat;27.09.14;15:30;Köln;0–2;Bayern Munich;50,000;RheinEnergieSTADION;Knut Kircher;Match Report;
6;Sat;27.09.14;15:30;Stuttgart;1–0;Hannover 96;40,500;Mercedes-Benz Arena;Günter Perl;Match Report;
6;Sat;27.09.14;15:30;Freiburg;0–0;Leverkusen;23,500;Schwarzwald-Stadion;Felix Brych;Match Report;
6;Sat;27.09.14;15:30;Paderborn 07;1–2;M'Gladbach;15,000;Benteler-Arena;Marco Fritz;Match Report;
