Wk;Day;Date;Time;Home;Score;Away;Attendance;Venue;Referee;Match Report;Notes
1;Fri;09.08.13;;Bayern Munich;3–1;M'Gladbach;;;Tobias Welz;Match Report;
1;Sat;10.08.13;;Hertha BSC;6–1;Eint Frankfurt;;;Michael Weiner;Match Report;
1;Sat;10.08.13;;Augsburg;0–4;Dortmund;;;Knut Kircher;Match Report;
1;Sat;10.08.13;;Hannover 96;2–0;Wolfsburg;;;Felix Brych;Match Report;
1;Sat;10.08.13;;Leverkusen;3–1;Freiburg;;;Günter Perl;Match Report;
1;Sat;10.08.13;;Hoffenheim;2–2;Nürnberg;;;Thorsten Kinhöfer;Match Report;
1;Sat;10.08.13;;Braunschweig;0–1;Werder Bremen;;;Deniz Aytekin;Match Report;
1;Sun;11.08.13;;Schalke 04;3–3;Hamburger SV;;;Manuel Gräfe;Match Report;
1;Sun;11.08.13;;Mainz 05;3–2;Stuttgart;;;Florian Meyer;Match Report;
;;;;;;;;;;;
2;Sat;17.08.13;;M'Gladbach;3–0;Hannover 96;;;Jochen Drees;Match Report;
2;Sat;17.08.13;;Eint Frankfurt;0–1;Bayern Munich;;;Peter Gagelmann;Match Report;
2;Sat;17.08.13;;Wolfsburg;4–0;Schalke 04;;;Wolfgang Stark;Match Report;
2;Sat;17.08.13;;Werder Bremen;1–0;Augsburg;;;Daniel Siebert;Match Report;
2;Sat;17.08.13;;Stuttgart;0–1;Leverkusen;;;Felix Zwayer;Match Report;
2;Sat;17.08.13;;Hamburger SV;1–5;Hoffenheim;;;Günter Perl;Match Report;
2;Sat;17.08.13;;Freiburg;1–2;Mainz 05;;;Robert Hartmann;Match Report;
2;Sun;18.08.13;;Nürnberg;2–2;Hertha BSC;;;Guido Winkmann;Match Report;
2;Sun;18.08.13;;Dortmund;2–1;Braunschweig;;;Peter Sippel;Match Report;
;;;;;;;;;;;
3;Fri;23.08.13;;Dortmund;1–0;Werder Bremen;;;Felix Zwayer;Match Report;
3;Sat;24.08.13;;Bayern Munich;2–0;Nürnberg;;;Christian Dingert;Match Report;
3;Sat;24.08.13;;Mainz 05;2–0;Wolfsburg;;;Thorsten Kinhöfer;Match Report;
3;Sat;24.08.13;;Hannover 96;2–1;Schalke 04;;;Bastian Dankert;Match Report;
3;Sat;24.08.13;;Leverkusen;4–2;M'Gladbach;;;Felix Brych;Match Report;
3;Sat;24.08.13;;Hoffenheim;3–3;Freiburg;;;Tobias Stieler;Match Report;
3;Sat;24.08.13;;Hertha BSC;1–0;Hamburger SV;;;Marco Fritz;Match Report;
3;Sun;25.08.13;;Augsburg;2–1;Stuttgart;;;Tobias Welz;Match Report;
3;Sun;25.08.13;;Braunschweig;0–2;Eint Frankfurt;;;Wolfgang Stark;Match Report;
;;;;;;;;;;;
4;Tue;27.08.13;;Freiburg;1–1;Bayern Munich;;;Florian Meyer;Match Report;
4;Sat;31.08.13;;M'Gladbach;4–1;Werder Bremen;;;Günter Perl;Match Report;
4;Sat;31.08.13;;Wolfsburg;2–0;Hertha BSC;;;Robert Hartmann;Match Report;
4;Sat;31.08.13;;Nürnberg;0–1;Augsburg;;;Michael Weiner;Match Report;
4;Sat;31.08.13;;Hamburger SV;4–0;Braunschweig;;;Knut Kircher;Match Report;
4;Sat;31.08.13;;Hannover 96;4–1;Mainz 05;;;Guido Winkmann;Match Report;
4;Sat;31.08.13;;Schalke 04;2–0;Leverkusen;;;Peter Gagelmann;Match Report;
4;Sun;01.09.13;;Eint Frankfurt;1–2;Dortmund;;;Manuel Gräfe;Match Report;
4;Sun;01.09.13;;Stuttgart;6–2;Hoffenheim;;;Jochen Drees;Match Report;
;;;;;;;;;;;
5;Fri;13.09.13;;Hertha BSC;0–1;Stuttgart;;;Deniz Aytekin;Match Report;
5;Sat;14.09.13;;Dortmund;6–2;Hamburger SV;;;Tobias Welz;Match Report;
5;Sat;14.09.13;;Bayern Munich;2–0;Hannover 96;;;Tobias Stieler;Match Report;
5;Sat;14.09.13;;Mainz 05;0–1;Schalke 04;;;Peter Sippel;Match Report;
5;Sat;14.09.13;;Werder Bremen;0–3;Eint Frankfurt;;;Felix Brych;Match Report;
5;Sat;14.09.13;;Leverkusen;3–1;Wolfsburg;;;Markus Schmidt;Match Report;
5;Sat;14.09.13;;Augsburg;2–1;Freiburg;;;Bastian Dankert;Match Report;
5;Sun;15.09.13;;Braunschweig;1–1;Nürnberg;;;Marco Fritz;Match Report;
5;Sun;15.09.13;;Hoffenheim;2–1;M'Gladbach;;;Christian Dingert;Match Report;
;;;;;;;;;;;
6;Fri;20.09.13;;M'Gladbach;4–1;Braunschweig;;;Peter Gagelmann;Match Report;
6;Sat;21.09.13;;Nürnberg;1–1;Dortmund;;;Knut Kircher;Match Report;
6;Sat;21.09.13;;Hannover 96;2–1;Augsburg;;;Christian Dingert;Match Report;
6;Sat;21.09.13;;Schalke 04;0–4;Bayern Munich;;;Manuel Gräfe;Match Report;
6;Sat;21.09.13;;Wolfsburg;2–1;Hoffenheim;;;Marco Fritz;Match Report;
6;Sat;21.09.13;;Mainz 05;1–4;Leverkusen;;;Deniz Aytekin;Match Report;
6;Sat;21.09.13;;Hamburger SV;0–2;Werder Bremen;;;Wolfgang Stark;Match Report;
6;Sun;22.09.13;;Freiburg;1–1;Hertha BSC;;;Jochen Drees;Match Report;
6;Sun;22.09.13;;Stuttgart;1–1;Eint Frankfurt;;;Felix Zwayer;Match Report;
;;;;;;;;;;;
7;Fri;27.09.13;;Augsburg;2–2;M'Gladbach;;;Michael Weiner;Match Report;
7;Sat;28.09.13;;Eint Frankfurt;2–2;Hamburger SV;;;Thorsten Kinhöfer;Match Report;
7;Sat;28.09.13;;Dortmund;5–0;Freiburg;;;Markus Schmidt;Match Report;
7;Sat;28.09.13;;Bayern Munich;1–0;Wolfsburg;;;Bastian Dankert;Match Report;
7;Sat;28.09.13;;Hoffenheim;3–3;Schalke 04;;;Daniel Siebert;Match Report;
7;Sat;28.09.13;;Hertha BSC;3–1;Mainz 05;;;Florian Meyer;Match Report;
7;Sat;28.09.13;;Leverkusen;2–0;Hannover 96;;;Wolfgang Stark;Match Report;
7;Sun;29.09.13;;Werder Bremen;3–3;Nürnberg;;;Tobias Stieler;Match Report;
